"DateTime","(deg F) Mean Temperature (CFSR) at Washington, 2010-01-01 to 2019-03-14"
"2011-08-28:12 AM",68.2273
"2011-08-29:12 AM",66.1858
"2011-08-30:12 AM",61.1793
"2011-08-31:12 AM",55.8576
"2011-09-01:12 AM",56.1978
"2011-09-02:12 AM",57.7283
"2011-09-03:12 AM",60.0471
"2011-09-04:12 AM",63.4883
"2011-09-05:12 AM",63.8434
"2011-09-06:12 AM",65.0196
"2011-09-07:12 AM",67.397
"2011-09-08:12 AM",69.7536
"2011-09-09:12 AM",70.0495
"2011-09-10:12 AM",70.7752
"2011-09-11:12 AM",71.2396
"2011-09-12:12 AM",68.2315
"2011-09-13:12 AM",63.8775
"2011-09-14:12 AM",61.1276
"2011-09-15:12 AM",57.4124
"2011-09-16:12 AM",53.3966
"2011-09-17:12 AM",50.9954
"2011-09-18:12 AM",54.3641
"2011-09-19:12 AM",58.4555
"2011-09-20:12 AM",57.4529
"2011-09-21:12 AM",60.3457
"2011-09-22:12 AM",62.3104
"2011-09-23:12 AM",66.8408
"2011-09-24:12 AM",66.0657
"2011-09-25:12 AM",59.8501
"2011-09-26:12 AM",49.6488
"2011-09-27:12 AM",55.1185
"2011-09-28:12 AM",51.384
"2011-09-29:12 AM",55.222
"2011-09-30:12 AM",57.4149
"2011-10-01:12 AM",55.5701
"2011-10-02:12 AM",52.8456
"2011-10-03:12 AM",54.0496
"2011-10-04:12 AM",50.4248
"2011-10-05:12 AM",47.3173
"2011-10-06:12 AM",46.7332
"2011-10-07:12 AM",49.0287
"2011-10-08:12 AM",48.614
"2011-10-09:12 AM",49.2928
"2011-10-10:12 AM",48.085
"2011-10-11:12 AM",49.9809
"2011-10-12:12 AM",48.0173
"2011-10-13:12 AM",45.6811
"2011-10-14:12 AM",47.0827
"2011-10-15:12 AM",46.5591
"2011-10-16:12 AM",45.9316
"2011-10-17:12 AM",45.2098
"2011-10-18:12 AM",48.2288
"2011-10-19:12 AM",48.6171
"2011-10-20:12 AM",49.1007
"2011-10-21:12 AM",47.8893
"2011-10-22:12 AM",50.4552
"2011-10-23:12 AM",49.5466
"2011-10-24:12 AM",43.4604
"2011-10-25:12 AM",39.8003
"2011-10-26:12 AM",37.5537
"2011-10-27:12 AM",37.9089
"2011-10-28:12 AM",38.7187
"2011-10-29:12 AM",42.5991
"2011-10-30:12 AM",43.4313
"2011-10-31:12 AM",42.7498
"2011-11-01:12 AM",37.387
"2011-11-02:12 AM",36.486
"2011-11-03:12 AM",37.2
"2011-11-04:12 AM",33.9766
"2011-11-05:12 AM",32.5553
"2011-11-06:12 AM",32.1237
"2011-11-07:12 AM",32.5776
"2011-11-08:12 AM",37.0355
"2011-11-09:12 AM",38.7768
"2011-11-10:12 AM",38.991
"2011-11-11:12 AM",36.59
"2011-11-12:12 AM",34.52
"2011-11-13:12 AM",38.6173
"2011-11-14:12 AM",38.2575
"2011-11-15:12 AM",32.522
"2011-11-16:12 AM",30.3681
"2011-11-17:12 AM",34.3044
"2011-11-18:12 AM",30.3715
"2011-11-19:12 AM",25.7724
"2011-11-20:12 AM",23.324
"2011-11-21:12 AM",29.2221
"2011-11-22:12 AM",38.4753
"2011-11-23:12 AM",42.4378
"2011-11-24:12 AM",34.6734
"2011-11-25:12 AM",34.0725
"2011-11-26:12 AM",35.1628
"2011-11-27:12 AM",38.8369
"2011-11-28:12 AM",35.5356
"2011-11-29:12 AM",33.5653
"2011-11-30:12 AM",33.8911
"2011-12-01:12 AM",29.9656
"2011-12-02:12 AM",29.0305
"2011-12-03:12 AM",28.1462
"2011-12-04:12 AM",28.2817
"2011-12-05:12 AM",26.8142
"2011-12-06:12 AM",27.0309
"2011-12-07:12 AM",28.29
"2011-12-08:12 AM",25.9866
"2011-12-09:12 AM",26.598
"2011-12-10:12 AM",26.2171
"2011-12-11:12 AM",26.5672
"2011-12-12:12 AM",23.8408
"2011-12-13:12 AM",23.1656
"2011-12-14:12 AM",24.723
"2011-12-15:12 AM",28.229
