"DateTime","(deg F) Mean Temperature (CFSR) at Indiana, 2010-01-01 to 2019-03-14"
"2011-02-03:12 AM",13.7725
"2011-02-04:12 AM",16.1764
"2011-02-05:12 AM",24.5327
"2011-02-06:12 AM",29.0154
"2011-02-07:12 AM",28.9375
"2011-02-08:12 AM",14.832
"2011-02-09:12 AM",10.461
"2011-02-10:12 AM",7.425
"2011-02-11:12 AM",21.2736
"2011-02-12:12 AM",32.4579
"2011-02-13:12 AM",36.9091
"2011-02-14:12 AM",38.8009
"2011-02-15:12 AM",32.4322
"2011-02-16:12 AM",43.3737
"2011-02-17:12 AM",53.7399
"2011-02-18:12 AM",50.5557
"2011-02-19:12 AM",36.7324
"2011-02-20:12 AM",38.0736
"2011-02-21:12 AM",43.5475
"2011-02-22:12 AM",29.9597
"2011-02-23:12 AM",29.4042
"2011-02-24:12 AM",36.9977
"2011-02-25:12 AM",30.9925
"2011-02-26:12 AM",31.6297
"2011-02-27:12 AM",41.5081
"2011-02-28:12 AM",40.4902
"2011-03-01:12 AM",31.9672
"2011-03-02:12 AM",34.8651
"2011-03-03:12 AM",36.3355
"2011-03-04:12 AM",49.1724
"2011-03-05:12 AM",44.0262
"2011-03-06:12 AM",31.876
"2011-03-07:12 AM",32.9319
"2011-03-08:12 AM",39.18
"2011-03-09:12 AM",45.2419
"2011-03-10:12 AM",36.7995
"2011-03-11:12 AM",35.8597
"2011-03-12:12 AM",43.6921
"2011-03-13:12 AM",37.3302
"2011-03-14:12 AM",36.3619
"2011-03-15:12 AM",39.6862
"2011-03-16:12 AM",43.3724
"2011-03-17:12 AM",52.8714
"2011-03-18:12 AM",55.9279
"2011-03-19:12 AM",44.0148
"2011-03-20:12 AM",48.8961
"2011-03-21:12 AM",61.1679
"2011-03-22:12 AM",54.5763
"2011-03-23:12 AM",56.107
"2011-03-24:12 AM",35.6495
"2011-03-25:12 AM",32.7663
"2011-03-26:12 AM",31.9795
"2011-03-27:12 AM",30.6117
"2011-03-28:12 AM",32.4525
"2011-03-29:12 AM",35.9316
"2011-03-30:12 AM",35.6216
"2011-03-31:12 AM",36.1602
"2011-04-01:12 AM",39.1969
"2011-04-02:12 AM",42.5988
"2011-04-03:12 AM",51.6526
"2011-04-04:12 AM",56.7817
"2011-04-05:12 AM",41.0986
"2011-04-06:12 AM",49.6899
"2011-04-07:12 AM",51.6672
"2011-04-08:12 AM",55.4139
"2011-04-09:12 AM",58.7655
"2011-04-10:12 AM",68.4156
"2011-04-11:12 AM",61.9633
"2011-04-12:12 AM",49.7071
"2011-04-13:12 AM",49.649
"2011-04-14:12 AM",53.5964
"2011-04-15:12 AM",52.4118
"2011-04-16:12 AM",46.9576
"2011-04-17:12 AM",46.3818
"2011-04-18:12 AM",51.8949
"2011-04-19:12 AM",53.202
"2011-04-20:12 AM",48.036
"2011-04-21:12 AM",44.2098
"2011-04-22:12 AM",50.2228
"2011-04-23:12 AM",63.0306
"2011-04-24:12 AM",57.1595
"2011-04-25:12 AM",59.5841
"2011-04-26:12 AM",62.5599
"2011-04-27:12 AM",59.2104
"2011-04-28:12 AM",48.3033
"2011-04-29:12 AM",49.3104
"2011-04-30:12 AM",56.5718
"2011-05-01:12 AM",61.4572
"2011-05-02:12 AM",49.8684
"2011-05-03:12 AM",46.7683
"2011-05-04:12 AM",44.3872
"2011-05-05:12 AM",48.2184
"2011-05-06:12 AM",54.8753
"2011-05-07:12 AM",57.7182
"2011-05-08:12 AM",60.1543
"2011-05-09:12 AM",61.768
"2011-05-10:12 AM",68.8635
"2011-05-11:12 AM",74.2591
"2011-05-12:12 AM",73.7748
"2011-05-13:12 AM",69.1711
"2011-05-14:12 AM",59.38
"2011-05-15:12 AM",49.3635
"2011-05-16:12 AM",46.9684
"2011-05-17:12 AM",47.2532
"2011-05-18:12 AM",53.2053
"2011-05-19:12 AM",58.9689
"2011-05-20:12 AM",65.3742
"2011-05-21:12 AM",68.1642
"2011-05-22:12 AM",71.0415
"2011-05-23:12 AM",70.628
"2011-05-24:12 AM",68.3848
"2011-05-25:12 AM",69.2127
"2011-05-26:12 AM",60.9688
"2011-05-27:12 AM",53.9839
"2011-05-28:12 AM",61.8219
"2011-05-29:12 AM",72.9046
"2011-05-30:12 AM",76.8272
"2011-05-31:12 AM",77.8597
"2011-06-01:12 AM",73.267
"2011-06-02:12 AM",68.8447
"2011-06-03:12 AM",70.4615
"2011-06-04:12 AM",76.7111
"2011-06-05:12 AM",75.3733
"2011-06-06:12 AM",73.6403
"2011-06-07:12 AM",78.2578
"2011-06-08:12 AM",79.5654
"2011-06-09:12 AM",77.403
"2011-06-10:12 AM",76.0806
"2011-06-11:12 AM",71.578
"2011-06-12:12 AM",63.3999
"2011-06-13:12 AM",64.299
"2011-06-14:12 AM",66.484
"2011-06-15:12 AM",66.9337
"2011-06-16:12 AM",70.2226
"2011-06-17:12 AM",74.3724
"2011-06-18:12 AM",73.467
"2011-06-19:12 AM",72.7212
"2011-06-20:12 AM",74.9131
"2011-06-21:12 AM",77.0223
"2011-06-22:12 AM",72.8006
"2011-06-23:12 AM",67.2451
"2011-06-24:12 AM",63.7578
"2011-06-25:12 AM",67.4071
"2011-06-26:12 AM",68.6503
"2011-06-27:12 AM",70.1802
"2011-06-28:12 AM",71.4996
"2011-06-29:12 AM",69.8761
"2011-06-30:12 AM",72.2368
"2011-07-01:12 AM",74.5821
"2011-07-02:12 AM",77.8186
"2011-07-03:12 AM",77.1859
"2011-07-04:12 AM",73.8284
"2011-07-05:12 AM",74.9185
"2011-07-06:12 AM",76.127
"2011-07-07:12 AM",75.7539
"2011-07-08:12 AM",74.3265
"2011-07-09:12 AM",75.7882
"2011-07-10:12 AM",76.3432
"2011-07-11:12 AM",82.26
"2011-07-12:12 AM",81.8517
"2011-07-13:12 AM",73.4196
"2011-07-14:12 AM",71.6508
"2011-07-15:12 AM",73.9258
"2011-07-16:12 AM",77.3047
"2011-07-17:12 AM",79.8276
"2011-07-18:12 AM",81.3754
"2011-07-19:12 AM",84.2139
"2011-07-20:12 AM",85.3615
"2011-07-21:12 AM",86.6093
"2011-07-22:12 AM",84.7787
"2011-07-23:12 AM",84.0704
"2011-07-24:12 AM",82.8829
"2011-07-25:12 AM",78.9262
"2011-07-26:12 AM",78.7008
"2011-07-27:12 AM",80.4988
"2011-07-28:12 AM",85.1994
"2011-07-29:12 AM",82.467
"2011-07-30:12 AM",79.9891
"2011-07-31:12 AM",81.2503
"2011-08-01:12 AM",80.4461
"2011-08-02:12 AM",81.0448
"2011-08-03:12 AM",81.2536
"2011-08-04:12 AM",76.0964
"2011-08-05:12 AM",77.9531
"2011-08-06:12 AM",77.7758
"2011-08-07:12 AM",81.151
"2011-08-08:12 AM",78.9197
"2011-08-09:12 AM",76.7505
"2011-08-10:12 AM",71.5179
"2011-08-11:12 AM",68.2196
"2011-08-12:12 AM",69.256
"2011-08-13:12 AM",74.0831
"2011-08-14:12 AM",66.6219
"2011-08-15:12 AM",71.0877
"2011-08-16:12 AM",69.3851
"2011-08-17:12 AM",71.9775
"2011-08-18:12 AM",78.537
"2011-08-19:12 AM",75.5458
"2011-08-20:12 AM",75.2441
"2011-08-21:12 AM",73.1494
"2011-08-22:12 AM",69.4971
"2011-08-23:12 AM",73.2803
"2011-08-24:12 AM",81.9793
"2011-08-25:12 AM",76.046
"2011-08-26:12 AM",70.8274
"2011-08-27:12 AM",71.8612
"2011-08-28:12 AM",70.2068
"2011-08-29:12 AM",69.2665
"2011-08-30:12 AM",69.1207
"2011-08-31:12 AM",77.2596
"2011-09-01:12 AM",85.5527
"2011-09-02:12 AM",86.6421
"2011-09-03:12 AM",83.7081
"2011-09-04:12 AM",73.2569
"2011-09-05:12 AM",61.9468
"2011-09-06:12 AM",60.2274
"2011-09-07:12 AM",58.9721
"2011-09-08:12 AM",59.0684
"2011-09-09:12 AM",60.951
"2011-09-10:12 AM",64.1991
"2011-09-11:12 AM",66.871
"2011-09-12:12 AM",70.6955
"2011-09-13:12 AM",74.4381
"2011-09-14:12 AM",61.111
"2011-09-15:12 AM",52.6215
"2011-09-16:12 AM",53.4106
"2011-09-17:12 AM",57.1946
"2011-09-18:12 AM",59.896
"2011-09-19:12 AM",64.6061
"2011-09-20:12 AM",63.9338
"2011-09-21:12 AM",67.7881
"2011-09-22:12 AM",59.1863
"2011-09-23:12 AM",55.4936
"2011-09-24:12 AM",55.3681
"2011-09-25:12 AM",56.0847
"2011-09-26:12 AM",58.3216
"2011-09-27:12 AM",56.0273
"2011-09-28:12 AM",55.7161
"2011-09-29:12 AM",58.6593
"2011-09-30:12 AM",53.1444
"2011-10-01:12 AM",46.5244
"2011-10-02:12 AM",47.4393
"2011-10-03:12 AM",52.9443
"2011-10-04:12 AM",55.1993
"2011-10-05:12 AM",61.0497
"2011-10-06:12 AM",64.6353
"2011-10-07:12 AM",65.8585
"2011-10-08:12 AM",65.345
"2011-10-09:12 AM",63.6739
"2011-10-10:12 AM",63.8006
"2011-10-11:12 AM",64.2196
"2011-10-12:12 AM",63.795
"2011-10-13:12 AM",60.3792
"2011-10-14:12 AM",55.1194
"2011-10-15:12 AM",52.819
"2011-10-16:12 AM",58.0849
"2011-10-17:12 AM",51.3079
"2011-10-18:12 AM",46.0144
"2011-10-19:12 AM",44.1396
"2011-10-20:12 AM",40.4922
"2011-10-21:12 AM",44.6301
"2011-10-22:12 AM",45.5949
"2011-10-23:12 AM",52.2435
"2011-10-24:12 AM",54.2833
"2011-10-25:12 AM",55.5118
"2011-10-26:12 AM",59.2668
"2011-10-27:12 AM",47.075
"2011-10-28:12 AM",42.0132
"2011-10-29:12 AM",43.0302
"2011-10-30:12 AM",43.8418
"2011-10-31:12 AM",46.8783
"2011-11-01:12 AM",47.2051
"2011-11-02:12 AM",54.1256
"2011-11-03:12 AM",49.7368
"2011-11-04:12 AM",45.0217
"2011-11-05:12 AM",43.2367
"2011-11-06:12 AM",49.7064
"2011-11-07:12 AM",55.603
"2011-11-08:12 AM",59.4174
"2011-11-09:12 AM",53.2011
"2011-11-10:12 AM",38.2678
"2011-11-11:12 AM",36.0835
"2011-11-12:12 AM",49.0228
"2011-11-13:12 AM",56.9372
"2011-11-14:12 AM",59.1237
"2011-11-15:12 AM",53.4045
"2011-11-16:12 AM",45.2349
"2011-11-17:12 AM",34.0032
"2011-11-18:12 AM",36.298
"2011-11-19:12 AM",46.5006
"2011-11-20:12 AM",52.6516
"2011-11-21:12 AM",46.1818
"2011-11-22:12 AM",46.8756
"2011-11-23:12 AM",42.1363
"2011-11-24:12 AM",41.1917
"2011-11-25:12 AM",46.6281
"2011-11-26:12 AM",54.3447
"2011-11-27:12 AM",48.4545
"2011-11-28:12 AM",38.6017
"2011-11-29:12 AM",37.3613
"2011-11-30:12 AM",32.2097
"2011-12-01:12 AM",31.5869
"2011-12-02:12 AM",34.7443
"2011-12-03:12 AM",41.7951
"2011-12-04:12 AM",47.86
"2011-12-05:12 AM",40.3936
"2011-12-06:12 AM",34.3351
"2011-12-07:12 AM",31.4937
"2011-12-08:12 AM",31.2669
"2011-12-09:12 AM",31.3027
"2011-12-10:12 AM",22.6528
"2011-12-11:12 AM",26.7998
"2011-12-12:12 AM",30.8851
"2011-12-13:12 AM",35.9148
"2011-12-14:12 AM",46.9906
"2011-12-15:12 AM",50.6842
"2011-12-16:12 AM",32.2108
"2011-12-17:12 AM",30.852
"2011-12-18:12 AM",33.7532
"2011-12-19:12 AM",41.9301
"2011-12-20:12 AM",41.8377
"2011-12-21:12 AM",47.6953
"2011-12-22:12 AM",41.891
"2011-12-23:12 AM",35.0917
"2011-12-24:12 AM",32.1399
"2011-12-25:12 AM",35.3628
"2011-12-26:12 AM",34.5097
"2011-12-27:12 AM",34.4728
"2011-12-28:12 AM",29.3196
"2011-12-29:12 AM",37.4801
"2011-12-30:12 AM",44.8353
"2011-12-31:12 AM",39.1327
"2012-01-01:12 AM",39.5571
"2012-01-02:12 AM",25.7531
"2012-01-03:12 AM",19.2177
"2012-01-04:12 AM",29.3389
"2012-01-05:12 AM",35.652
"2012-01-06:12 AM",44.3219
"2012-01-07:12 AM",41.3753
"2012-01-08:12 AM",34.8665
"2012-01-09:12 AM",35.962
"2012-01-10:12 AM",37.2988
"2012-01-11:12 AM",40.7217
"2012-01-12:12 AM",32.6932
"2012-01-13:12 AM",18.5697
"2012-01-14:12 AM",18.2169
"2012-01-15:12 AM",19.78
"2012-01-16:12 AM",37.2573
"2012-01-17:12 AM",44.7175
"2012-01-18:12 AM",25.5981
"2012-01-19:12 AM",25.7799
"2012-01-20:12 AM",19.6032
"2012-01-21:12 AM",21.2009
"2012-01-22:12 AM",31.2091
"2012-01-23:12 AM",43.3634
"2012-01-24:12 AM",31.8826
"2012-01-25:12 AM",31.2082
"2012-01-26:12 AM",35.2488
"2012-01-27:12 AM",35.0442
"2012-01-28:12 AM",32.6475
"2012-01-29:12 AM",31.5352
"2012-01-30:12 AM",36.3418
"2012-01-31:12 AM",47.7979
"2012-02-01:12 AM",49.4181
"2012-02-02:12 AM",42.4467
"2012-02-03:12 AM",42.9737
"2012-02-04:12 AM",39.6475
"2012-02-05:12 AM",36.8764
"2012-02-06:12 AM",34.1213
"2012-02-07:12 AM",32.8296
"2012-02-08:12 AM",32.0682
"2012-02-09:12 AM",27.9934
"2012-02-10:12 AM",30.6489
