"DateTime","(deg F) Mean Temperature (CFSR) at Montana, 2010-01-01 to 2019-03-14"
"2011-01-25:12 AM",29.8668
"2011-01-26:12 AM",29.4289
"2011-01-27:12 AM",31.6544
"2011-01-28:12 AM",31.6395
"2011-01-29:12 AM",24.6124
"2011-01-30:12 AM",9.7441
"2011-01-31:12 AM",-4.3625
"2011-02-01:12 AM",-8.8395
"2011-02-02:12 AM",5.0805
"2011-02-03:12 AM",22.0874
"2011-02-04:12 AM",31.8603
"2011-02-05:12 AM",30.3265
"2011-02-06:12 AM",20.5354
"2011-02-07:12 AM",14.0983
"2011-02-08:12 AM",0.3679
"2011-02-09:12 AM",5.8564
"2011-02-10:12 AM",20.2158
"2011-02-11:12 AM",25.8337
"2011-02-12:12 AM",32.8215
"2011-02-13:12 AM",33.764
"2011-02-14:12 AM",32.1228
"2011-02-15:12 AM",35.8569
"2011-02-16:12 AM",33.303
"2011-02-17:12 AM",23.6529
"2011-02-18:12 AM",13.201
"2011-02-19:12 AM",7.5398
"2011-02-20:12 AM",5.5845
"2011-02-21:12 AM",10.5429
"2011-02-22:12 AM",19.9249
"2011-02-23:12 AM",11.4008
"2011-02-24:12 AM",-1.9035
"2011-02-25:12 AM",-8.1011
"2011-02-26:12 AM",2.5788
"2011-02-27:12 AM",15.8229
"2011-02-28:12 AM",23.8685
"2011-03-01:12 AM",15.6054
"2011-03-02:12 AM",15.4785
"2011-03-03:12 AM",26.4711
"2011-03-04:12 AM",19.3667
"2011-03-05:12 AM",20.1222
"2011-03-06:12 AM",15.942
"2011-03-07:12 AM",13.5637
"2011-03-08:12 AM",17.7552
"2011-03-09:12 AM",25.1926
"2011-03-10:12 AM",34.4948
"2011-03-11:12 AM",31.1616
"2011-03-12:12 AM",25.8688
"2011-03-13:12 AM",31.2987
"2011-03-14:12 AM",35.6842
"2011-03-15:12 AM",35.2998
"2011-03-16:12 AM",37.6212
"2011-03-17:12 AM",32.4
"2011-03-18:12 AM",31.2159
"2011-03-19:12 AM",32.4919
"2011-03-20:12 AM",32.4649
"2011-03-21:12 AM",34.1082
"2011-03-22:12 AM",31.2201
"2011-03-23:12 AM",27.595
"2011-03-24:12 AM",26.9915
"2011-03-25:12 AM",27.9914
"2011-03-26:12 AM",27.8299
"2011-03-27:12 AM",28.8394
"2011-03-28:12 AM",27.8685
"2011-03-29:12 AM",29.3729
"2011-03-30:12 AM",34.0992
"2011-03-31:12 AM",38.6555
"2011-04-01:12 AM",39.0184
"2011-04-02:12 AM",39.4961
"2011-04-03:12 AM",30.6102
"2011-04-04:12 AM",30.6322
"2011-04-05:12 AM",35.1973
"2011-04-06:12 AM",33.742
"2011-04-07:12 AM",32.7279
"2011-04-08:12 AM",31.1738
"2011-04-09:12 AM",32.3393
"2011-04-10:12 AM",35.2062
"2011-04-11:12 AM",40.4863
"2011-04-12:12 AM",37.668
"2011-04-13:12 AM",37.036
"2011-04-14:12 AM",35.1046
"2011-04-15:12 AM",35.6725
"2011-04-16:12 AM",37.5341
"2011-04-17:12 AM",35.9785
"2011-04-18:12 AM",30.2149
"2011-04-19:12 AM",28.3195
"2011-04-20:12 AM",29.9786
"2011-04-21:12 AM",35.8849
"2011-04-22:12 AM",32.6842
"2011-04-23:12 AM",34.56
"2011-04-24:12 AM",39.3678
"2011-04-25:12 AM",42.2811
"2011-04-26:12 AM",39.8943
"2011-04-27:12 AM",39.2421
"2011-04-28:12 AM",40.7365
"2011-04-29:12 AM",33.9372
"2011-04-30:12 AM",34.3881
"2011-05-01:12 AM",36.55
"2011-05-02:12 AM",40.883
"2011-05-03:12 AM",42.224
"2011-05-04:12 AM",41.4504
"2011-05-05:12 AM",45.6373
"2011-05-06:12 AM",47.2028
"2011-05-07:12 AM",46.5802
"2011-05-08:12 AM",45.8766
"2011-05-09:12 AM",43.3071
"2011-05-10:12 AM",41.9776
"2011-05-11:12 AM",45.3882
"2011-05-12:12 AM",48.0983
"2011-05-13:12 AM",48.0168
"2011-05-14:12 AM",44.4884
"2011-05-15:12 AM",45.0531
"2011-05-16:12 AM",47.8414
"2011-05-17:12 AM",45.8593
"2011-05-18:12 AM",45.3978
"2011-05-19:12 AM",46.2934
"2011-05-20:12 AM",47.2192
"2011-05-21:12 AM",50.0146
"2011-05-22:12 AM",51.1831
"2011-05-23:12 AM",51.2139
"2011-05-24:12 AM",47.242
"2011-05-25:12 AM",46.6041
"2011-05-26:12 AM",45.6075
"2011-05-27:12 AM",41.7504
"2011-05-28:12 AM",42.5154
"2011-05-29:12 AM",40.9341
"2011-05-30:12 AM",41.6424
"2011-05-31:12 AM",44.9325
"2011-06-01:12 AM",51.4009
"2011-06-02:12 AM",52.0588
"2011-06-03:12 AM",45.3184
"2011-06-04:12 AM",50.8573
"2011-06-05:12 AM",59.4822
"2011-06-06:12 AM",59.3883
"2011-06-07:12 AM",51.4517
"2011-06-08:12 AM",47.1573
"2011-06-09:12 AM",45.5436
"2011-06-10:12 AM",48.9618
"2011-06-11:12 AM",52.6987
"2011-06-12:12 AM",53.5039
"2011-06-13:12 AM",54.8071
"2011-06-14:12 AM",54.1461
"2011-06-15:12 AM",51.9775
"2011-06-16:12 AM",49.0078
"2011-06-17:12 AM",50.079
"2011-06-18:12 AM",54.3825
"2011-06-19:12 AM",54.0334
"2011-06-20:12 AM",55.6354
"2011-06-21:12 AM",57.8817
"2011-06-22:12 AM",61.8163
"2011-06-23:12 AM",63.4147
"2011-06-24:12 AM",57.9405
"2011-06-25:12 AM",55.0989
"2011-06-26:12 AM",53.7618
"2011-06-27:12 AM",56.6649
"2011-06-28:12 AM",65.9462
"2011-06-29:12 AM",69.7258
"2011-06-30:12 AM",62.9964
"2011-07-01:12 AM",58.4361
"2011-07-02:12 AM",62.5415
"2011-07-03:12 AM",69.6774
"2011-07-04:12 AM",68.0653
"2011-07-05:12 AM",67.3961
"2011-07-06:12 AM",68.4802
"2011-07-07:12 AM",70.0954
"2011-07-08:12 AM",67.0447
"2011-07-09:12 AM",61.4223
"2011-07-10:12 AM",63.2624
"2011-07-11:12 AM",64.6999
"2011-07-12:12 AM",66.9846
"2011-07-13:12 AM",68.2704
"2011-07-14:12 AM",65.916
"2011-07-15:12 AM",65.01
"2011-07-16:12 AM",68.5008
"2011-07-17:12 AM",71.5388
"2011-07-18:12 AM",76.829
"2011-07-19:12 AM",75.6883
"2011-07-20:12 AM",64.7478
"2011-07-21:12 AM",62.7969
"2011-07-22:12 AM",63.7696
"2011-07-23:12 AM",61.522
"2011-07-24:12 AM",66.4498
"2011-07-25:12 AM",71.8983
"2011-07-26:12 AM",68.4869
"2011-07-27:12 AM",64.009
"2011-07-28:12 AM",64.1257
"2011-07-29:12 AM",67.7615
"2011-07-30:12 AM",69.1869
"2011-07-31:12 AM",74.9919
"2011-08-01:12 AM",71.9719
"2011-08-02:12 AM",70.0583
"2011-08-03:12 AM",71.6599
"2011-08-04:12 AM",70.7151
"2011-08-05:12 AM",68.4541
"2011-08-06:12 AM",67.3066
"2011-08-07:12 AM",67.9426
"2011-08-08:12 AM",64.378
"2011-08-09:12 AM",64.076
"2011-08-10:12 AM",65.9647
"2011-08-11:12 AM",65.1603
"2011-08-12:12 AM",62.0152
"2011-08-13:12 AM",66.5379
"2011-08-14:12 AM",72.1267
"2011-08-15:12 AM",68.0328
"2011-08-16:12 AM",61.345
"2011-08-17:12 AM",64.7033
"2011-08-18:12 AM",66.1591
"2011-08-19:12 AM",60.7678
"2011-08-20:12 AM",62.8669
"2011-08-21:12 AM",69.0348
"2011-08-22:12 AM",74.8072
"2011-08-23:12 AM",73.2997
"2011-08-24:12 AM",71.0485
"2011-08-25:12 AM",73.8658
"2011-08-26:12 AM",71.5174
"2011-08-27:12 AM",73.2646
"2011-08-28:12 AM",73.1556
"2011-08-29:12 AM",71.1869
"2011-08-30:12 AM",69.1329
"2011-08-31:12 AM",63.6859
"2011-09-01:12 AM",54.3979
"2011-09-02:12 AM",55.5505
"2011-09-03:12 AM",51.8754
"2011-09-04:12 AM",56.8279
"2011-09-05:12 AM",64.7845
"2011-09-06:12 AM",66.5528
"2011-09-07:12 AM",66.7407
"2011-09-08:12 AM",67.7647
"2011-09-09:12 AM",66.931
"2011-09-10:12 AM",66.6034
