"DateTime","(deg F) Mean Temperature (CFSR) at Wyoming, 2010-01-01 to 2019-03-14"
"2010-12-08:12 AM",29.9059
"2010-12-09:12 AM",32.8314
"2010-12-10:12 AM",31.5619
"2010-12-11:12 AM",23.1193
"2010-12-12:12 AM",28.4464
"2010-12-13:12 AM",35.7661
"2010-12-14:12 AM",36.2428
"2010-12-15:12 AM",28.7859
"2010-12-16:12 AM",13.4501
"2010-12-17:12 AM",7.7124
"2010-12-18:12 AM",13.2744
"2010-12-19:12 AM",26.0461
"2010-12-20:12 AM",27.2579
"2010-12-21:12 AM",21.18
"2010-12-22:12 AM",24.363
"2010-12-23:12 AM",28.5721
"2010-12-24:12 AM",24.112
"2010-12-25:12 AM",22.9941
"2010-12-26:12 AM",25.747
"2010-12-27:12 AM",23.3332
"2010-12-28:12 AM",20.4004
"2010-12-29:12 AM",25.732
"2010-12-30:12 AM",11.3146
"2010-12-31:12 AM",-1.3983
"2011-01-01:12 AM",-4.2558
"2011-01-02:12 AM",4.8265
"2011-01-03:12 AM",7.8962
"2011-01-04:12 AM",8.3008
"2011-01-05:12 AM",15.17
"2011-01-06:12 AM",19.6126
"2011-01-07:12 AM",22.2373
"2011-01-08:12 AM",24.766
"2011-01-09:12 AM",12.2889
"2011-01-10:12 AM",-1.0147
"2011-01-11:12 AM",-3.3086
"2011-01-12:12 AM",7.1395
"2011-01-13:12 AM",24.7986
"2011-01-14:12 AM",27.0061
"2011-01-15:12 AM",27.664
"2011-01-16:12 AM",29.1744
"2011-01-17:12 AM",33.2604
"2011-01-18:12 AM",26.897
"2011-01-19:12 AM",21.6032
"2011-01-20:12 AM",11.6469
"2011-01-21:12 AM",20.2059
"2011-01-22:12 AM",23.6091
"2011-01-23:12 AM",17.8259
"2011-01-24:12 AM",18.4521
"2011-01-25:12 AM",20.4964
"2011-01-26:12 AM",21.8147
"2011-01-27:12 AM",23.4759
"2011-01-28:12 AM",25.7538
"2011-01-29:12 AM",25.5294
"2011-01-30:12 AM",24.2656
"2011-01-31:12 AM",8.7719
"2011-02-01:12 AM",-10.0075
"2011-02-02:12 AM",-9.9265
"2011-02-03:12 AM",9.3515
"2011-02-04:12 AM",20.7354
"2011-02-05:12 AM",25.3517
"2011-02-06:12 AM",15.6034
"2011-02-07:12 AM",18.4957
"2011-02-08:12 AM",4.4649
"2011-02-09:12 AM",-0.8151
"2011-02-10:12 AM",10.9398
"2011-02-11:12 AM",17.0985
"2011-02-12:12 AM",25.0097
"2011-02-13:12 AM",28.3228
"2011-02-14:12 AM",27.2835
"2011-02-15:12 AM",30.33
"2011-02-16:12 AM",31.3882
"2011-02-17:12 AM",24.9732
"2011-02-18:12 AM",22.6936
"2011-02-19:12 AM",24.8515
"2011-02-20:12 AM",17.897
"2011-02-21:12 AM",14.3992
"2011-02-22:12 AM",17.0897
"2011-02-23:12 AM",17.8137
"2011-02-24:12 AM",12.8595
"2011-02-25:12 AM",10.1469
"2011-02-26:12 AM",14.8669
"2011-02-27:12 AM",14.9236
"2011-02-28:12 AM",16.3544
"2011-03-01:12 AM",23.5755
"2011-03-02:12 AM",24.4357
"2011-03-03:12 AM",30.6054
"2011-03-04:12 AM",24.9656
"2011-03-05:12 AM",22.6087
"2011-03-06:12 AM",25.9045
"2011-03-07:12 AM",18.716
"2011-03-08:12 AM",20.1907
"2011-03-09:12 AM",23.2547
"2011-03-10:12 AM",29.8965
"2011-03-11:12 AM",31.2606
"2011-03-12:12 AM",27.2955
"2011-03-13:12 AM",30.2918
"2011-03-14:12 AM",32.9725
"2011-03-15:12 AM",32.8748
"2011-03-16:12 AM",39.7247
"2011-03-17:12 AM",30.8489
"2011-03-18:12 AM",27.7781
"2011-03-19:12 AM",33.9354
"2011-03-20:12 AM",32.4264
"2011-03-21:12 AM",37.6909
"2011-03-22:12 AM",31.4838
"2011-03-23:12 AM",27.9819
"2011-03-24:12 AM",28.4722
"2011-03-25:12 AM",30.3017
"2011-03-26:12 AM",29.1695
"2011-03-27:12 AM",29.4269
"2011-03-28:12 AM",27.799
"2011-03-29:12 AM",27.1427
"2011-03-30:12 AM",31.2517
"2011-03-31:12 AM",39.0225
"2011-04-01:12 AM",40.303
"2011-04-02:12 AM",44.2429
"2011-04-03:12 AM",31.3381
"2011-04-04:12 AM",26.1455
"2011-04-05:12 AM",35.8045
"2011-04-06:12 AM",33.6123
"2011-04-07:12 AM",37.432
"2011-04-08:12 AM",38.0363
"2011-04-09:12 AM",36.3844
"2011-04-10:12 AM",33.1198
"2011-04-11:12 AM",36.1378
"2011-04-12:12 AM",37.3993
"2011-04-13:12 AM",35.8966
"2011-04-14:12 AM",33.2379
"2011-04-15:12 AM",31.5736
"2011-04-16:12 AM",37.4576
"2011-04-17:12 AM",40.3245
"2011-04-18:12 AM",36.3411
"2011-04-19:12 AM",30.6513
"2011-04-20:12 AM",30.0785
