"DateTime","(deg F) Mean Temperature (CFSR) at Utah, 2010-01-01 to 2019-03-14"
"2011-03-15:12 AM",43.4691
"2011-03-16:12 AM",45.9295
"2011-03-17:12 AM",37.9031
"2011-03-18:12 AM",36.502
"2011-03-19:12 AM",38.0116
"2011-03-20:12 AM",37.1604
"2011-03-21:12 AM",37.1392
"2011-03-22:12 AM",32.5584
"2011-03-23:12 AM",33.409
"2011-03-24:12 AM",35.4357
"2011-03-25:12 AM",33.8369
"2011-03-26:12 AM",31.4591
"2011-03-27:12 AM",35.9344
"2011-03-28:12 AM",36.6492
"2011-03-29:12 AM",33.5674
"2011-03-30:12 AM",38.498
"2011-03-31:12 AM",45.5878
"2011-04-01:12 AM",49.2571
"2011-04-02:12 AM",52.9012
"2011-04-03:12 AM",40.5745
"2011-04-04:12 AM",33.58
"2011-04-05:12 AM",43.8964
"2011-04-06:12 AM",43.34
"2011-04-07:12 AM",41.025
"2011-04-08:12 AM",36.7556
"2011-04-09:12 AM",33.3626
"2011-04-10:12 AM",31.8852
"2011-04-11:12 AM",37.3573
"2011-04-12:12 AM",43.2302
"2011-04-13:12 AM",43.2021
"2011-04-14:12 AM",37.6882
"2011-04-15:12 AM",38.8942
"2011-04-16:12 AM",46.6057
"2011-04-17:12 AM",51.2935
"2011-04-18:12 AM",50.236
"2011-04-19:12 AM",45.2989
"2011-04-20:12 AM",46.3136
"2011-04-21:12 AM",47.0907
"2011-04-22:12 AM",41.4426
"2011-04-23:12 AM",41.9088
"2011-04-24:12 AM",42.1338
"2011-04-25:12 AM",42.6771
"2011-04-26:12 AM",38.1713
"2011-04-27:12 AM",36.9093
"2011-04-28:12 AM",44.1844
"2011-04-29:12 AM",40.649
"2011-04-30:12 AM",33.3993
"2011-05-01:12 AM",35.4826
"2011-05-02:12 AM",39.8413
"2011-05-03:12 AM",47.0028
"2011-05-04:12 AM",46.7665
"2011-05-05:12 AM",49.7721
"2011-05-06:12 AM",56.5929
"2011-05-07:12 AM",59.2171
"2011-05-08:12 AM",55.1314
"2011-05-09:12 AM",44.5514
"2011-05-10:12 AM",40.771
"2011-05-11:12 AM",44.4925
"2011-05-12:12 AM",50.1656
"2011-05-13:12 AM",55.872
"2011-05-14:12 AM",56.512
"2011-05-15:12 AM",55.0114
"2011-05-16:12 AM",47.0505
"2011-05-17:12 AM",44.847
"2011-05-18:12 AM",42.6517
"2011-05-19:12 AM",41.7384
"2011-05-20:12 AM",45.9205
"2011-05-21:12 AM",50.3533
"2011-05-22:12 AM",52.4833
"2011-05-23:12 AM",51.5278
"2011-05-24:12 AM",48.4756
"2011-05-25:12 AM",50.7355
"2011-05-26:12 AM",53.5678
"2011-05-27:12 AM",52.2239
"2011-05-28:12 AM",53.3275
"2011-05-29:12 AM",48.7276
"2011-05-30:12 AM",44.8556
"2011-05-31:12 AM",51.2424
"2011-06-01:12 AM",58.3299
"2011-06-02:12 AM",52.7464
"2011-06-03:12 AM",49.8731
"2011-06-04:12 AM",57.5092
"2011-06-05:12 AM",63.4435
"2011-06-06:12 AM",61.6966
"2011-06-07:12 AM",56.3779
"2011-06-08:12 AM",58.4929
"2011-06-09:12 AM",57.205
"2011-06-10:12 AM",59.1481
"2011-06-11:12 AM",62.7733
"2011-06-12:12 AM",61.6438
"2011-06-13:12 AM",61.7986
"2011-06-14:12 AM",62.3622
"2011-06-15:12 AM",66.6401
"2011-06-16:12 AM",64.4394
"2011-06-17:12 AM",58.3182
"2011-06-18:12 AM",61.8901
"2011-06-19:12 AM",56.9665
"2011-06-20:12 AM",56.1355
"2011-06-21:12 AM",62.6245
"2011-06-22:12 AM",68.6633
"2011-06-23:12 AM",73.2078
"2011-06-24:12 AM",71.6421
"2011-06-25:12 AM",69.447
"2011-06-26:12 AM",68.4883
"2011-06-27:12 AM",69.4981
"2011-06-28:12 AM",73.7087
"2011-06-29:12 AM",74.1178
"2011-06-30:12 AM",67.285
"2011-07-01:12 AM",68.1921
"2011-07-02:12 AM",74.1015
"2011-07-03:12 AM",76.8565
"2011-07-04:12 AM",73.4412
"2011-07-05:12 AM",69.2283
"2011-07-06:12 AM",70.6726
"2011-07-07:12 AM",70.9344
"2011-07-08:12 AM",69.0976
"2011-07-09:12 AM",69.3253
"2011-07-10:12 AM",69.5152
"2011-07-11:12 AM",69.7714
"2011-07-12:12 AM",69.3302
"2011-07-13:12 AM",69.0957
"2011-07-14:12 AM",68.302
"2011-07-15:12 AM",68.0835
"2011-07-16:12 AM",69.5799
"2011-07-17:12 AM",71.6164
