"DateTime","(deg F) Mean Temperature (CFSR) at South Carolina, 2010-01-01 to 2019-03-14"
"2011-07-20:12 AM",88.966
"2011-07-21:12 AM",89.3415
"2011-07-22:12 AM",89.2463
"2011-07-23:12 AM",89.0559
"2011-07-24:12 AM",88.3686
"2011-07-25:12 AM",85.5223
"2011-07-26:12 AM",78.9235
"2011-07-27:12 AM",81.5045
"2011-07-28:12 AM",83.3657
"2011-07-29:12 AM",85.9393
"2011-07-30:12 AM",89.0474
"2011-07-31:12 AM",86.5942
"2011-08-01:12 AM",82.4661
"2011-08-02:12 AM",85.3702
"2011-08-03:12 AM",87.6591
"2011-08-04:12 AM",90.689
"2011-08-05:12 AM",85.8315
"2011-08-06:12 AM",83.224
"2011-08-07:12 AM",85.8798
"2011-08-08:12 AM",88.5213
"2011-08-09:12 AM",87.4917
"2011-08-10:12 AM",85.649
"2011-08-11:12 AM",85.4649
"2011-08-12:12 AM",82.053
"2011-08-13:12 AM",80.22
"2011-08-14:12 AM",81.5383
"2011-08-15:12 AM",79.1537
"2011-08-16:12 AM",78.7296
"2011-08-17:12 AM",78.6803
"2011-08-18:12 AM",78.6074
"2011-08-19:12 AM",81.6881
"2011-08-20:12 AM",82.6173
"2011-08-21:12 AM",83.2374
"2011-08-22:12 AM",84.7818
"2011-08-23:12 AM",79.3593
"2011-08-24:12 AM",79.0077
"2011-08-25:12 AM",81.1971
"2011-08-26:12 AM",81.8704
"2011-08-27:12 AM",84.7261
"2011-08-28:12 AM",81.2964
"2011-08-29:12 AM",81.586
"2011-08-30:12 AM",77.8181
"2011-08-31:12 AM",78.0791
"2011-09-01:12 AM",77.2209
"2011-09-02:12 AM",80.8416
"2011-09-03:12 AM",80.0368
"2011-09-04:12 AM",79.0198
"2011-09-05:12 AM",76.9287
"2011-09-06:12 AM",75.7373
"2011-09-07:12 AM",70.0275
"2011-09-08:12 AM",70.0716
"2011-09-09:12 AM",71.6877
"2011-09-10:12 AM",72.9327
"2011-09-11:12 AM",74.6771
"2011-09-12:12 AM",75.8194
"2011-09-13:12 AM",76.2447
"2011-09-14:12 AM",77.7762
"2011-09-15:12 AM",78.3855
"2011-09-16:12 AM",63.5205
"2011-09-17:12 AM",60.6934
"2011-09-18:12 AM",64.6228
"2011-09-19:12 AM",67.0102
"2011-09-20:12 AM",69.7082
"2011-09-21:12 AM",72.6163
"2011-09-22:12 AM",73.1442
"2011-09-23:12 AM",73.9332
"2011-09-24:12 AM",73.6664
"2011-09-25:12 AM",73.7598
"2011-09-26:12 AM",74.6668
"2011-09-27:12 AM",75.8448
"2011-09-28:12 AM",74.8377
"2011-09-29:12 AM",72.0259
"2011-09-30:12 AM",70.9428
"2011-10-01:12 AM",58.5032
"2011-10-02:12 AM",54.0365
"2011-10-03:12 AM",55.1057
"2011-10-04:12 AM",59.1051
"2011-10-05:12 AM",61.138
"2011-10-06:12 AM",63.8141
"2011-10-07:12 AM",63.7167
"2011-10-08:12 AM",64.6079
"2011-10-09:12 AM",66.4579
"2011-10-10:12 AM",66.8323
"2011-10-11:12 AM",64.5532
"2011-10-12:12 AM",67.6206
"2011-10-13:12 AM",68.3551
"2011-10-14:12 AM",64.9045
"2011-10-15:12 AM",65.1445
"2011-10-16:12 AM",62.8633
"2011-10-17:12 AM",67.2296
"2011-10-18:12 AM",67.0897
"2011-10-19:12 AM",63.7822
"2011-10-20:12 AM",50.8951
"2011-10-21:12 AM",50.221
"2011-10-22:12 AM",51.681
"2011-10-23:12 AM",53.7037
"2011-10-24:12 AM",56.6679
"2011-10-25:12 AM",58.962
"2011-10-26:12 AM",60.3331
"2011-10-27:12 AM",65.4903
"2011-10-28:12 AM",59.7834
"2011-10-29:12 AM",50.9338
"2011-10-30:12 AM",46.3255
"2011-10-31:12 AM",47.1216
"2011-11-01:12 AM",49.1533
"2011-11-02:12 AM",49.6456
"2011-11-03:12 AM",52.3081
"2011-11-04:12 AM",56.3047
"2011-11-05:12 AM",48.5359
"2011-11-06:12 AM",48.9294
"2011-11-07:12 AM",55.1343
"2011-11-08:12 AM",57.0466
"2011-11-09:12 AM",56.3733
"2011-11-10:12 AM",56.2415
"2011-11-11:12 AM",44.8315
"2011-11-12:12 AM",45.4167
"2011-11-13:12 AM",54.6143
"2011-11-14:12 AM",61.3996
"2011-11-15:12 AM",67.3457
"2011-11-16:12 AM",70.1512
"2011-11-17:12 AM",59.8627
"2011-11-18:12 AM",42.4215
"2011-11-19:12 AM",44.9064
"2011-11-20:12 AM",57.5371
"2011-11-21:12 AM",63.8168
"2011-11-22:12 AM",65.3337
"2011-11-23:12 AM",63.9052
"2011-11-24:12 AM",50.4531
"2011-11-25:12 AM",47.9451
"2011-11-26:12 AM",53.7094
"2011-11-27:12 AM",61.3036
"2011-11-28:12 AM",63.799
"2011-11-29:12 AM",45.6359
"2011-11-30:12 AM",42.6166
"2011-12-01:12 AM",42.4519
"2011-12-02:12 AM",43.1641
"2011-12-03:12 AM",45.4978
"2011-12-04:12 AM",50.74
"2011-12-05:12 AM",57.8944
"2011-12-06:12 AM",62.9973
"2011-12-07:12 AM",60.1216
"2011-12-08:12 AM",42.3664
"2011-12-09:12 AM",45.2035
"2011-12-10:12 AM",47.367
"2011-12-11:12 AM",41.9929
"2011-12-12:12 AM",43.3675
"2011-12-13:12 AM",49.2226
"2011-12-14:12 AM",52.137
"2011-12-15:12 AM",56.8321
"2011-12-16:12 AM",62.1378
"2011-12-17:12 AM",53.3984
"2011-12-18:12 AM",43.9659
"2011-12-19:12 AM",44.452
"2011-12-20:12 AM",54.1715
"2011-12-21:12 AM",60.7953
"2011-12-22:12 AM",65.3032
"2011-12-23:12 AM",61.9997
"2011-12-24:12 AM",51.8985
"2011-12-25:12 AM",46.6927
"2011-12-26:12 AM",45.7504
"2011-12-27:12 AM",50.9256
"2011-12-28:12 AM",43.7322
"2011-12-29:12 AM",42.1536
"2011-12-30:12 AM",48.8194
"2011-12-31:12 AM",56.1495
"2012-01-01:12 AM",52.9038
"2012-01-02:12 AM",44.4729
"2012-01-03:12 AM",30.6604
"2012-01-04:12 AM",32.3469
"2012-01-05:12 AM",41.9074
"2012-01-06:12 AM",48.6968
"2012-01-07:12 AM",54.9363
"2012-01-08:12 AM",56.9574
"2012-01-09:12 AM",55.5696
"2012-01-10:12 AM",56.3288
"2012-01-11:12 AM",56.9451
"2012-01-12:12 AM",52.0592
"2012-01-13:12 AM",37.5174
"2012-01-14:12 AM",36.8532
"2012-01-15:12 AM",40.4793
"2012-01-16:12 AM",41.6878
"2012-01-17:12 AM",54.9786
"2012-01-18:12 AM",52.4898
"2012-01-19:12 AM",42.4281
"2012-01-20:12 AM",48.5794
"2012-01-21:12 AM",59.7375
"2012-01-22:12 AM",46.242
"2012-01-23:12 AM",49.388
"2012-01-24:12 AM",56.197
"2012-01-25:12 AM",52.3137
"2012-01-26:12 AM",59.1773
"2012-01-27:12 AM",60.1803
"2012-01-28:12 AM",49.0518
"2012-01-29:12 AM",44.4339
"2012-01-30:12 AM",45.306
"2012-01-31:12 AM",49.0498
"2012-02-01:12 AM",55.3226
"2012-02-02:12 AM",60.2814
"2012-02-03:12 AM",52.3393
"2012-02-04:12 AM",54.0489
"2012-02-05:12 AM",60.4773
"2012-02-06:12 AM",46.6722
"2012-02-07:12 AM",46.5391
"2012-02-08:12 AM",47.2676
"2012-02-09:12 AM",43.7581
