"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2010-12-25:12 AM",25.6667
"2010-12-26:12 AM",28.4076
"2010-12-27:12 AM",27.8976
"2010-12-28:12 AM",25.3328
"2010-12-29:12 AM",28.128
"2010-12-30:12 AM",25.1908
"2010-12-31:12 AM",6.2539
"2011-01-01:12 AM",-1.6011
"2011-01-02:12 AM",6.6344
"2011-01-03:12 AM",14.5161
"2011-01-04:12 AM",14.3247
"2011-01-05:12 AM",17.4407
"2011-01-06:12 AM",20.0289
"2011-01-07:12 AM",24.2218
"2011-01-08:12 AM",25.2113
"2011-01-09:12 AM",23.0869
"2011-01-10:12 AM",6.687
"2011-01-11:12 AM",2.3977
"2011-01-12:12 AM",8.182
"2011-01-13:12 AM",20.6406
"2011-01-14:12 AM",26.6506
"2011-01-15:12 AM",26.5264
"2011-01-16:12 AM",28.134
"2011-01-17:12 AM",34.9398
"2011-01-18:12 AM",31.3407
"2011-01-19:12 AM",27.8991
"2011-01-20:12 AM",17.7069
"2011-01-21:12 AM",22.1774
"2011-01-22:12 AM",26.3869
"2011-01-23:12 AM",20.2647
"2011-01-24:12 AM",20.4039
"2011-01-25:12 AM",19.2312
"2011-01-26:12 AM",23.1084
"2011-01-27:12 AM",26.9632
"2011-01-28:12 AM",31.411
"2011-01-29:12 AM",32.374
"2011-01-30:12 AM",29.2397
"2011-01-31:12 AM",20.4879
"2011-02-01:12 AM",1.3878
"2011-02-02:12 AM",-7.1012
"2011-02-03:12 AM",3.0765
"2011-02-04:12 AM",18.108
"2011-02-05:12 AM",25.6638
"2011-02-06:12 AM",19.1862
"2011-02-07:12 AM",18.3735
"2011-02-08:12 AM",11.8159
"2011-02-09:12 AM",0.343
"2011-02-10:12 AM",7.0484
"2011-02-11:12 AM",15.3941
"2011-02-12:12 AM",22.915
"2011-02-13:12 AM",29.995
"2011-02-14:12 AM",31.0941
"2011-02-15:12 AM",34.3186
"2011-02-16:12 AM",37.5726
"2011-02-17:12 AM",35.6405
"2011-02-18:12 AM",31.2976
