"DateTime","(deg F) Mean Temperature (CFSR) at Massachusetts, 2010-01-01 to 2019-03-14"
"2011-08-20:12 AM",70.6586
"2011-08-21:12 AM",70.8152
"2011-08-22:12 AM",68.1202
"2011-08-23:12 AM",64.4562
"2011-08-24:12 AM",67.2737
"2011-08-25:12 AM",72.0894
"2011-08-26:12 AM",71.9433
"2011-08-27:12 AM",69.9316
"2011-08-28:12 AM",68.4469
"2011-08-29:12 AM",63.3182
"2011-08-30:12 AM",64.49
"2011-08-31:12 AM",67.0746
"2011-09-01:12 AM",65.3803
"2011-09-02:12 AM",63.5922
"2011-09-03:12 AM",68.0095
"2011-09-04:12 AM",71.9685
"2011-09-05:12 AM",71.1563
"2011-09-06:12 AM",62.1055
"2011-09-07:12 AM",60.0436
"2011-09-08:12 AM",61.2405
"2011-09-09:12 AM",65.1416
"2011-09-10:12 AM",64.1674
"2011-09-11:12 AM",59.3614
"2011-09-12:12 AM",66.0034
"2011-09-13:12 AM",68.8433
"2011-09-14:12 AM",69.5529
"2011-09-15:12 AM",64.558
"2011-09-16:12 AM",52.5375
"2011-09-17:12 AM",51.3255
"2011-09-18:12 AM",53.0062
"2011-09-19:12 AM",54.1998
"2011-09-20:12 AM",58.523
"2011-09-21:12 AM",63.8811
"2011-09-22:12 AM",67.0181
"2011-09-23:12 AM",67.5498
"2011-09-24:12 AM",70.4608
"2011-09-25:12 AM",68.5677
"2011-09-26:12 AM",68.2284
"2011-09-27:12 AM",66.0897
"2011-09-28:12 AM",65.4026
"2011-09-29:12 AM",66.9076
"2011-09-30:12 AM",63.2642
"2011-10-01:12 AM",61.3521
"2011-10-02:12 AM",57.1111
"2011-10-03:12 AM",54.6624
"2011-10-04:12 AM",55.7123
"2011-10-05:12 AM",54.7509
"2011-10-06:12 AM",49.2955
"2011-10-07:12 AM",49.7633
"2011-10-08:12 AM",59.383
"2011-10-09:12 AM",65.8519
"2011-10-10:12 AM",66.0263
"2011-10-11:12 AM",59.3026
"2011-10-12:12 AM",55.1352
"2011-10-13:12 AM",58.8186
"2011-10-14:12 AM",61.6685
"2011-10-15:12 AM",55.9
"2011-10-16:12 AM",54.8798
"2011-10-17:12 AM",55.593
"2011-10-18:12 AM",55.4434
"2011-10-19:12 AM",55.4599
"2011-10-20:12 AM",60.0165
"2011-10-21:12 AM",53.3795
"2011-10-22:12 AM",51.1389
"2011-10-23:12 AM",47.95
"2011-10-24:12 AM",49.0244
"2011-10-25:12 AM",49.39
"2011-10-26:12 AM",47.2246
"2011-10-27:12 AM",43.2896
"2011-10-28:12 AM",37.2628
"2011-10-29:12 AM",37.5121
"2011-10-30:12 AM",34.713
"2011-10-31:12 AM",34.3441
"2011-11-01:12 AM",39.1762
"2011-11-02:12 AM",40.4184
"2011-11-03:12 AM",47.8855
"2011-11-04:12 AM",44.4573
"2011-11-05:12 AM",38.0041
"2011-11-06:12 AM",40.8717
"2011-11-07:12 AM",46.1248
"2011-11-08:12 AM",53.0155
"2011-11-09:12 AM",53.3345
"2011-11-10:12 AM",56.0525
"2011-11-11:12 AM",44.7411
"2011-11-12:12 AM",41.8548
"2011-11-13:12 AM",49.627
"2011-11-14:12 AM",54.5992
"2011-11-15:12 AM",58.3329
"2011-11-16:12 AM",53.1102
"2011-11-17:12 AM",45.2788
"2011-11-18:12 AM",36.5652
"2011-11-19:12 AM",41.0855
"2011-11-20:12 AM",50.839
"2011-11-21:12 AM",45.4955
"2011-11-22:12 AM",38.8731
"2011-11-23:12 AM",40.1054
"2011-11-24:12 AM",36.3306
"2011-11-25:12 AM",44.0224
"2011-11-26:12 AM",48.7182
"2011-11-27:12 AM",48.7053
"2011-11-28:12 AM",56.4265
"2011-11-29:12 AM",56.4222
"2011-11-30:12 AM",50.9149
"2011-12-01:12 AM",39.0367
"2011-12-02:12 AM",38.5635
"2011-12-03:12 AM",36.484
"2011-12-04:12 AM",40.5318
"2011-12-05:12 AM",50.355
"2011-12-06:12 AM",55.36
"2011-12-07:12 AM",50.0221
"2011-12-08:12 AM",38.062
"2011-12-09:12 AM",38.5912
"2011-12-10:12 AM",37.1557
"2011-12-11:12 AM",30.4543
"2011-12-12:12 AM",34.9286
"2011-12-13:12 AM",35.2224
"2011-12-14:12 AM",36.5398
"2011-12-15:12 AM",43.954
"2011-12-16:12 AM",44.6535
"2011-12-17:12 AM",34.7419
"2011-12-18:12 AM",25.3078
"2011-12-19:12 AM",30.5026
"2011-12-20:12 AM",35.2513
"2011-12-21:12 AM",42.7107
"2011-12-22:12 AM",47.5149
"2011-12-23:12 AM",39.6504
"2011-12-24:12 AM",28.5352
"2011-12-25:12 AM",31.1331
"2011-12-26:12 AM",34.5754
"2011-12-27:12 AM",38.4804
"2011-12-28:12 AM",39.8206
"2011-12-29:12 AM",26.577
"2011-12-30:12 AM",33.8731
"2011-12-31:12 AM",38.0973
"2012-01-01:12 AM",39.74
"2012-01-02:12 AM",38.3695
"2012-01-03:12 AM",24.1394
"2012-01-04:12 AM",17.7892
"2012-01-05:12 AM",27.7268
"2012-01-06:12 AM",34.7009
"2012-01-07:12 AM",41.8044
"2012-01-08:12 AM",35.0082
"2012-01-09:12 AM",30.9567
"2012-01-10:12 AM",35.3876
"2012-01-11:12 AM",33.5887
"2012-01-12:12 AM",38.6701
"2012-01-13:12 AM",34.9785
"2012-01-14:12 AM",27.8096
"2012-01-15:12 AM",13.7714
"2012-01-16:12 AM",18.9034
"2012-01-17:12 AM",36.9964
"2012-01-18:12 AM",32.5076
"2012-01-19:12 AM",23.9421
"2012-01-20:12 AM",25.4345
"2012-01-21:12 AM",21.3638
"2012-01-22:12 AM",20.2836
"2012-01-23:12 AM",33.3316
"2012-01-24:12 AM",42.5712
"2012-01-25:12 AM",33.5782
"2012-01-26:12 AM",33.7365
"2012-01-27:12 AM",39.8899
"2012-01-28:12 AM",35.0953
"2012-01-29:12 AM",33.1848
"2012-01-30:12 AM",31.3187
"2012-01-31:12 AM",36.1899
"2012-02-01:12 AM",43.5137
"2012-02-02:12 AM",35.6113
"2012-02-03:12 AM",29.4388
"2012-02-04:12 AM",32.5517
"2012-02-05:12 AM",28.1876
"2012-02-06:12 AM",33.9597
"2012-02-07:12 AM",35.8497
"2012-02-08:12 AM",30.3805
"2012-02-09:12 AM",33.1515
"2012-02-10:12 AM",35.3901
