"DateTime","(deg F) Mean Temperature (CFSR) at New Hampshire, 2010-01-01 to 2019-03-14"
"2011-04-18:12 AM",38.4937
"2011-04-19:12 AM",40.1405
"2011-04-20:12 AM",37.1161
"2011-04-21:12 AM",36.1722
"2011-04-22:12 AM",38.7216
"2011-04-23:12 AM",34.2529
"2011-04-24:12 AM",47.8351
"2011-04-25:12 AM",44.9055
"2011-04-26:12 AM",46.6954
"2011-04-27:12 AM",55.7497
"2011-04-28:12 AM",59.7636
"2011-04-29:12 AM",51.3876
"2011-04-30:12 AM",45.7662
"2011-05-01:12 AM",46.9202
"2011-05-02:12 AM",50.6176
"2011-05-03:12 AM",53.9562
"2011-05-04:12 AM",47.9705
"2011-05-05:12 AM",41.0697
"2011-05-06:12 AM",48.0585
"2011-05-07:12 AM",50.8854
"2011-05-08:12 AM",49.6258
"2011-05-09:12 AM",50.211
"2011-05-10:12 AM",49.6393
"2011-05-11:12 AM",50.6935
"2011-05-12:12 AM",51.2634
"2011-05-13:12 AM",54.3306
"2011-05-14:12 AM",52.8708
"2011-05-15:12 AM",50.2556
"2011-05-16:12 AM",43.8989
"2011-05-17:12 AM",45.2628
"2011-05-18:12 AM",48.2128
"2011-05-19:12 AM",51.1169
"2011-05-20:12 AM",53.6623
"2011-05-21:12 AM",57.5449
"2011-05-22:12 AM",52.4257
"2011-05-23:12 AM",49.6605
"2011-05-24:12 AM",61.8975
"2011-05-25:12 AM",60.6006
"2011-05-26:12 AM",64.4895
"2011-05-27:12 AM",68.3838
"2011-05-28:12 AM",62.2
"2011-05-29:12 AM",65.5583
"2011-05-30:12 AM",70.5178
"2011-05-31:12 AM",67.0534
"2011-06-01:12 AM",68.7025
"2011-06-02:12 AM",54.5986
"2011-06-03:12 AM",49.9942
"2011-06-04:12 AM",54.043
"2011-06-05:12 AM",54.3529
"2011-06-06:12 AM",60.692
"2011-06-07:12 AM",65.1227
"2011-06-08:12 AM",71.1606
"2011-06-09:12 AM",75.6045
"2011-06-10:12 AM",64.0823
"2011-06-11:12 AM",54.9387
"2011-06-12:12 AM",49.8076
"2011-06-13:12 AM",53.3201
"2011-06-14:12 AM",53.2427
"2011-06-15:12 AM",60.5388
"2011-06-16:12 AM",66.3825
"2011-06-17:12 AM",64.3788
"2011-06-18:12 AM",64.5454
"2011-06-19:12 AM",59.0592
"2011-06-20:12 AM",59.7704
"2011-06-21:12 AM",63.5355
"2011-06-22:12 AM",61.518
"2011-06-23:12 AM",56.6013
"2011-06-24:12 AM",52.1955
"2011-06-25:12 AM",55.0301
"2011-06-26:12 AM",62.9456
"2011-06-27:12 AM",66.0004
"2011-06-28:12 AM",67.4769
"2011-06-29:12 AM",66.9299
"2011-06-30:12 AM",62.1963
"2011-07-01:12 AM",61.5623
"2011-07-02:12 AM",65.1331
"2011-07-03:12 AM",66.6831
"2011-07-04:12 AM",69.3248
"2011-07-05:12 AM",70.2565
"2011-07-06:12 AM",71.6562
"2011-07-07:12 AM",66.5656
"2011-07-08:12 AM",62.6274
"2011-07-09:12 AM",66.2956
"2011-07-10:12 AM",64.5548
"2011-07-11:12 AM",72.9964
"2011-07-12:12 AM",75.0888
"2011-07-13:12 AM",68.4082
"2011-07-14:12 AM",62.7411
"2011-07-15:12 AM",65.0667
"2011-07-16:12 AM",67.3218
"2011-07-17:12 AM",72.2962
"2011-07-18:12 AM",71.8025
"2011-07-19:12 AM",69.3637
"2011-07-20:12 AM",71.5613
"2011-07-21:12 AM",78.2119
"2011-07-22:12 AM",81.0873
"2011-07-23:12 AM",76.0906
"2011-07-24:12 AM",69.3523
"2011-07-25:12 AM",61.0336
"2011-07-26:12 AM",64.1057
"2011-07-27:12 AM",65.0925
"2011-07-28:12 AM",65.892
"2011-07-29:12 AM",67.3007
"2011-07-30:12 AM",68.2606
"2011-07-31:12 AM",65.7525
"2011-08-01:12 AM",71.6099
"2011-08-02:12 AM",66.7101
"2011-08-03:12 AM",62.9177
"2011-08-04:12 AM",63.941
"2011-08-05:12 AM",64.9513
"2011-08-06:12 AM",68.8019
"2011-08-07:12 AM",68.7117
"2011-08-08:12 AM",67.5153
"2011-08-09:12 AM",65.8116
"2011-08-10:12 AM",64.1624
"2011-08-11:12 AM",63.1528
"2011-08-12:12 AM",62.029
"2011-08-13:12 AM",64.5143
"2011-08-14:12 AM",65.1754
"2011-08-15:12 AM",60.7667
"2011-08-16:12 AM",58.2474
"2011-08-17:12 AM",62.5471
"2011-08-18:12 AM",67.575
"2011-08-19:12 AM",68.9374
"2011-08-20:12 AM",66.6849
"2011-08-21:12 AM",67.4503
"2011-08-22:12 AM",63.2385
"2011-08-23:12 AM",58.1353
"2011-08-24:12 AM",64.2834
"2011-08-25:12 AM",66.9216
"2011-08-26:12 AM",65.359
"2011-08-27:12 AM",67.0566
"2011-08-28:12 AM",65.1303
"2011-08-29:12 AM",58.6238
"2011-08-30:12 AM",60.6619
"2011-08-31:12 AM",63.709
"2011-09-01:12 AM",61.4637
"2011-09-02:12 AM",61.0758
"2011-09-03:12 AM",66.4097
"2011-09-04:12 AM",71.5966
"2011-09-05:12 AM",68.9621
"2011-09-06:12 AM",59.3137
"2011-09-07:12 AM",55.4806
"2011-09-08:12 AM",58.4361
"2011-09-09:12 AM",63.1402
"2011-09-10:12 AM",58.0573
"2011-09-11:12 AM",52.5274
"2011-09-12:12 AM",61.3452
"2011-09-13:12 AM",65.6926
"2011-09-14:12 AM",64.6718
"2011-09-15:12 AM",55.8761
"2011-09-16:12 AM",45.1674
"2011-09-17:12 AM",46.1998
"2011-09-18:12 AM",48.0675
"2011-09-19:12 AM",48.2036
"2011-09-20:12 AM",52.808
"2011-09-21:12 AM",56.9448
"2011-09-22:12 AM",62.8938
"2011-09-23:12 AM",63.6985
"2011-09-24:12 AM",66.9666
"2011-09-25:12 AM",66.823
"2011-09-26:12 AM",63.2685
"2011-09-27:12 AM",61.1749
"2011-09-28:12 AM",59.2848
"2011-09-29:12 AM",58.4982
"2011-09-30:12 AM",57.9969
"2011-10-01:12 AM",53.5539
"2011-10-02:12 AM",49.7205
"2011-10-03:12 AM",51.7527
"2011-10-04:12 AM",51.9046
"2011-10-05:12 AM",47.6721
"2011-10-06:12 AM",40.4128
"2011-10-07:12 AM",44.2506
"2011-10-08:12 AM",55.2357
"2011-10-09:12 AM",61.2559
"2011-10-10:12 AM",60.5073
"2011-10-11:12 AM",53.2447
"2011-10-12:12 AM",49.2408
"2011-10-13:12 AM",51.1743
"2011-10-14:12 AM",55.153
"2011-10-15:12 AM",51.3345
"2011-10-16:12 AM",48.3985
"2011-10-17:12 AM",48.8878
"2011-10-18:12 AM",47.5277
"2011-10-19:12 AM",47.1376
"2011-10-20:12 AM",50.2039
"2011-10-21:12 AM",48.4736
"2011-10-22:12 AM",45.6237
"2011-10-23:12 AM",43.5146
"2011-10-24:12 AM",43.8413
"2011-10-25:12 AM",43.9689
"2011-10-26:12 AM",41.8262
"2011-10-27:12 AM",36.0649
"2011-10-28:12 AM",31.9998
"2011-10-29:12 AM",32.227
"2011-10-30:12 AM",29.4697
"2011-10-31:12 AM",28.607
"2011-11-01:12 AM",32.6786
"2011-11-02:12 AM",33.7393
"2011-11-03:12 AM",42.0246
"2011-11-04:12 AM",36.4341
"2011-11-05:12 AM",32.7277
"2011-11-06:12 AM",36.0091
"2011-11-07:12 AM",39.825
"2011-11-08:12 AM",46.0137
"2011-11-09:12 AM",49.2571
"2011-11-10:12 AM",52.1035
"2011-11-11:12 AM",39.2427
"2011-11-12:12 AM",35.8063
"2011-11-13:12 AM",42.3513
"2011-11-14:12 AM",49.9635
"2011-11-15:12 AM",52.8105
"2011-11-16:12 AM",44.9319
"2011-11-17:12 AM",41.1136
"2011-11-18:12 AM",31.6105
"2011-11-19:12 AM",34.9878
"2011-11-20:12 AM",42.2794
"2011-11-21:12 AM",35.5966
"2011-11-22:12 AM",31.5003
"2011-11-23:12 AM",29.4285
"2011-11-24:12 AM",26.3041
"2011-11-25:12 AM",33.0692
"2011-11-26:12 AM",39.2668
"2011-11-27:12 AM",39.8278
"2011-11-28:12 AM",49.0966
"2011-11-29:12 AM",48.713
"2011-11-30:12 AM",47.5106
"2011-12-01:12 AM",33.3963
"2011-12-02:12 AM",33.1284
"2011-12-03:12 AM",31.1272
"2011-12-04:12 AM",33.9926
"2011-12-05:12 AM",39.9911
"2011-12-06:12 AM",47.365
"2011-12-07:12 AM",40.5327
"2011-12-08:12 AM",30.466
"2011-12-09:12 AM",31.0386
"2011-12-10:12 AM",28.8948
"2011-12-11:12 AM",24.8306
"2011-12-12:12 AM",29.2768
"2011-12-13:12 AM",30.1253
"2011-12-14:12 AM",32.2623
"2011-12-15:12 AM",36.5135
"2011-12-16:12 AM",37.4283
"2011-12-17:12 AM",26.9146
"2011-12-18:12 AM",17.0604
"2011-12-19:12 AM",23.999
"2011-12-20:12 AM",27.1873
"2011-12-21:12 AM",29.8852
"2011-12-22:12 AM",37.7542
"2011-12-23:12 AM",32.1584
"2011-12-24:12 AM",17.3109
"2011-12-25:12 AM",19.1595
"2011-12-26:12 AM",25.1526
"2011-12-27:12 AM",28.6178
"2011-12-28:12 AM",32.6244
"2011-12-29:12 AM",16.3006
"2011-12-30:12 AM",21.6648
"2011-12-31:12 AM",29.3702
"2012-01-01:12 AM",32.427
"2012-01-02:12 AM",31.9224
"2012-01-03:12 AM",16.0128
"2012-01-04:12 AM",9.4253
"2012-01-05:12 AM",20.4796
"2012-01-06:12 AM",23.9007
"2012-01-07:12 AM",32.9365
"2012-01-08:12 AM",28.6317
"2012-01-09:12 AM",23.7069
"2012-01-10:12 AM",29.2249
"2012-01-11:12 AM",24.4089
"2012-01-12:12 AM",26.2402
"2012-01-13:12 AM",25.6674
"2012-01-14:12 AM",16.1119
"2012-01-15:12 AM",1.9891
"2012-01-16:12 AM",8.6207
"2012-01-17:12 AM",26.9008
"2012-01-18:12 AM",21.4277
"2012-01-19:12 AM",12.0094
"2012-01-20:12 AM",15.7035
"2012-01-21:12 AM",10.8586
"2012-01-22:12 AM",10.0315
"2012-01-23:12 AM",22.6148
"2012-01-24:12 AM",34.2586
"2012-01-25:12 AM",26.3277
"2012-01-26:12 AM",24.9505
"2012-01-27:12 AM",30.155
"2012-01-28:12 AM",28.3955
