"DateTime","(deg F) Mean Temperature (CFSR) at Kansas, 2010-01-01 to 2019-03-14"
"2011-02-08:12 AM",12.0796
"2011-02-09:12 AM",7.515
"2011-02-10:12 AM",13.1162
"2011-02-11:12 AM",25.8354
"2011-02-12:12 AM",34.1996
"2011-02-13:12 AM",43.191
"2011-02-14:12 AM",42.1927
"2011-02-15:12 AM",45.3652
"2011-02-16:12 AM",53.3799
"2011-02-17:12 AM",61.9734
"2011-02-18:12 AM",48.8752
"2011-02-19:12 AM",50.9941
"2011-02-20:12 AM",58.473
"2011-02-21:12 AM",33.5151
"2011-02-22:12 AM",33.5179
"2011-02-23:12 AM",44.524
"2011-02-24:12 AM",34.2189
"2011-02-25:12 AM",25.8751
"2011-02-26:12 AM",29.9714
"2011-02-27:12 AM",42.8857
"2011-02-28:12 AM",35.5834
"2011-03-01:12 AM",46.5537
"2011-03-02:12 AM",39.8658
"2011-03-03:12 AM",48.0488
"2011-03-04:12 AM",45.0707
"2011-03-05:12 AM",34.9054
"2011-03-06:12 AM",40.5945
"2011-03-07:12 AM",40.6402
"2011-03-08:12 AM",35.2645
"2011-03-09:12 AM",35.2706
"2011-03-10:12 AM",40.9197
"2011-03-11:12 AM",52.6753
"2011-03-12:12 AM",50.9637
"2011-03-13:12 AM",39.9951
"2011-03-14:12 AM",37.6093
"2011-03-15:12 AM",43.621
"2011-03-16:12 AM",54.8269
"2011-03-17:12 AM",65.3362
"2011-03-18:12 AM",52.3283
"2011-03-19:12 AM",48.8786
"2011-03-20:12 AM",64.6727
"2011-03-21:12 AM",66.0844
"2011-03-22:12 AM",68.0092
"2011-03-23:12 AM",53.9506
"2011-03-24:12 AM",41.3326
"2011-03-25:12 AM",43.0097
"2011-03-26:12 AM",39.6172
"2011-03-27:12 AM",34.259
"2011-03-28:12 AM",35.6268
"2011-03-29:12 AM",37.1588
"2011-03-30:12 AM",39.7465
"2011-03-31:12 AM",47.1988
"2011-04-01:12 AM",52.9511
"2011-04-02:12 AM",59.3098
"2011-04-03:12 AM",72.0842
"2011-04-04:12 AM",47.2755
"2011-04-05:12 AM",53.5991
"2011-04-06:12 AM",61.7846
"2011-04-07:12 AM",57.8449
"2011-04-08:12 AM",61.8967
"2011-04-09:12 AM",73.4099
"2011-04-10:12 AM",70.1956
"2011-04-11:12 AM",57.3667
"2011-04-12:12 AM",58.0921
"2011-04-13:12 AM",64.013
"2011-04-14:12 AM",55.7281
"2011-04-15:12 AM",44.0488
"2011-04-16:12 AM",49.5214
"2011-04-17:12 AM",60.9535
"2011-04-18:12 AM",61.2111
"2011-04-19:12 AM",52.7241
"2011-04-20:12 AM",48.2011
"2011-04-21:12 AM",51.3815
"2011-04-22:12 AM",61.3207
"2011-04-23:12 AM",55.3046
"2011-04-24:12 AM",50.4651
"2011-04-25:12 AM",50.3701
"2011-04-26:12 AM",49.3635
"2011-04-27:12 AM",49.2373
"2011-04-28:12 AM",56.7455
"2011-04-29:12 AM",65.9451
"2011-04-30:12 AM",58.9534
"2011-05-01:12 AM",49.951
"2011-05-02:12 AM",49.5516
"2011-05-03:12 AM",54.194
"2011-05-04:12 AM",62.3003
"2011-05-05:12 AM",59.1427
"2011-05-06:12 AM",63.5412
"2011-05-07:12 AM",71.762
"2011-05-08:12 AM",77.3965
"2011-05-09:12 AM",81.4636
"2011-05-10:12 AM",79.7558
"2011-05-11:12 AM",73.922
"2011-05-12:12 AM",62.3201
"2011-05-13:12 AM",53.3881
"2011-05-14:12 AM",49.8121
"2011-05-15:12 AM",50.9256
"2011-05-16:12 AM",54.8299
"2011-05-17:12 AM",60.0476
"2011-05-18:12 AM",56.9584
"2011-05-19:12 AM",63.0626
"2011-05-20:12 AM",68.3807
"2011-05-21:12 AM",68.6815
"2011-05-22:12 AM",72.8382
"2011-05-23:12 AM",72.8944
"2011-05-24:12 AM",69.3307
"2011-05-25:12 AM",60.9472
"2011-05-26:12 AM",59.7661
"2011-05-27:12 AM",65.7435
"2011-05-28:12 AM",66.4095
"2011-05-29:12 AM",75.7765
"2011-05-30:12 AM",83.615
"2011-05-31:12 AM",75.4101
"2011-06-01:12 AM",75.1118
"2011-06-02:12 AM",82.5134
"2011-06-03:12 AM",86.09
"2011-06-04:12 AM",83.9773
"2011-06-05:12 AM",84.241
"2011-06-06:12 AM",87.2618
"2011-06-07:12 AM",88.5816
"2011-06-08:12 AM",84.6514
"2011-06-09:12 AM",78.0199
"2011-06-10:12 AM",71.1259
"2011-06-11:12 AM",71.6108
"2011-06-12:12 AM",75.6536
"2011-06-13:12 AM",82.6572
"2011-06-14:12 AM",81.7659
"2011-06-15:12 AM",78.8855
"2011-06-16:12 AM",82.4225
"2011-06-17:12 AM",82.9099
"2011-06-18:12 AM",81.3589
"2011-06-19:12 AM",84.043
"2011-06-20:12 AM",83.2752
"2011-06-21:12 AM",73.6182
"2011-06-22:12 AM",75.7746
"2011-06-23:12 AM",77.8303
"2011-06-24:12 AM",82.3719
"2011-06-25:12 AM",86.5134
"2011-06-26:12 AM",89.3721
"2011-06-27:12 AM",83.732
"2011-06-28:12 AM",78.6371
"2011-06-29:12 AM",89.496
"2011-06-30:12 AM",95.3055
"2011-07-01:12 AM",92.5988
"2011-07-02:12 AM",88.4457
"2011-07-03:12 AM",86.5206
"2011-07-04:12 AM",86.506
"2011-07-05:12 AM",89.035
"2011-07-06:12 AM",86.3067
"2011-07-07:12 AM",81.5259
"2011-07-08:12 AM",82.2594
"2011-07-09:12 AM",88.9363
"2011-07-10:12 AM",94.1722
"2011-07-11:12 AM",91.6329
"2011-07-12:12 AM",89.9789
"2011-07-13:12 AM",83.8364
"2011-07-14:12 AM",85.806
"2011-07-15:12 AM",91.6952
"2011-07-16:12 AM",93.7441
"2011-07-17:12 AM",93.6361
"2011-07-18:12 AM",92.7662
"2011-07-19:12 AM",92.4168
"2011-07-20:12 AM",94.1826
"2011-07-21:12 AM",92.3612
"2011-07-22:12 AM",91.0139
"2011-07-23:12 AM",93.7135
"2011-07-24:12 AM",91.4234
"2011-07-25:12 AM",88.0817
"2011-07-26:12 AM",89.0553
"2011-07-27:12 AM",94.2481
"2011-07-28:12 AM",90.9426
"2011-07-29:12 AM",83.9597
"2011-07-30:12 AM",84.3795
"2011-07-31:12 AM",90.9968
"2011-08-01:12 AM",94.0194
"2011-08-02:12 AM",94.0312
"2011-08-03:12 AM",86.8084
"2011-08-04:12 AM",86.1384
"2011-08-05:12 AM",87.6484
"2011-08-06:12 AM",88.2174
"2011-08-07:12 AM",89.9451
"2011-08-08:12 AM",87.5372
"2011-08-09:12 AM",83.041
"2011-08-10:12 AM",73.4243
"2011-08-11:12 AM",78.1641
"2011-08-12:12 AM",82.7823
"2011-08-13:12 AM",79.6878
"2011-08-14:12 AM",78.73
"2011-08-15:12 AM",82.1935
"2011-08-16:12 AM",87.5401
"2011-08-17:12 AM",83.1997
"2011-08-18:12 AM",87.5037
"2011-08-19:12 AM",89.6187
"2011-08-20:12 AM",78.5255
"2011-08-21:12 AM",79.6831
"2011-08-22:12 AM",80.2315
"2011-08-23:12 AM",87.9445
"2011-08-24:12 AM",90.6388
"2011-08-25:12 AM",82.9477
"2011-08-26:12 AM",84.4291
"2011-08-27:12 AM",85.3639
"2011-08-28:12 AM",86.5236
"2011-08-29:12 AM",81.6417
"2011-08-30:12 AM",83.0962
"2011-08-31:12 AM",88.6968
"2011-09-01:12 AM",93.8714
"2011-09-02:12 AM",89.605
"2011-09-03:12 AM",79.3481
"2011-09-04:12 AM",67.9543
"2011-09-05:12 AM",63.8668
"2011-09-06:12 AM",65.262
"2011-09-07:12 AM",66.513
"2011-09-08:12 AM",67.8216
"2011-09-09:12 AM",67.0294
"2011-09-10:12 AM",69.618
"2011-09-11:12 AM",71.4675
"2011-09-12:12 AM",79.389
"2011-09-13:12 AM",77.4999
"2011-09-14:12 AM",63.5891
"2011-09-15:12 AM",53.6311
"2011-09-16:12 AM",55.7222
"2011-09-17:12 AM",58.5604
"2011-09-18:12 AM",65.5635
"2011-09-19:12 AM",67.3473
"2011-09-20:12 AM",69.7311
"2011-09-21:12 AM",61.367
"2011-09-22:12 AM",60.3549
"2011-09-23:12 AM",63.6087
"2011-09-24:12 AM",67.8529
"2011-09-25:12 AM",62.2148
"2011-09-26:12 AM",61.9075
"2011-09-27:12 AM",66.0445
"2011-09-28:12 AM",72.0831
