"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2010-12-18:12 AM",27.694
"2010-12-19:12 AM",28.1714
"2010-12-20:12 AM",27.1769
"2010-12-21:12 AM",28.7951
"2010-12-22:12 AM",32.0581
"2010-12-23:12 AM",30.736
"2010-12-24:12 AM",29.6024
"2010-12-25:12 AM",30.2585
"2010-12-26:12 AM",25.9934
"2010-12-27:12 AM",25.5115
"2010-12-28:12 AM",29.471
"2010-12-29:12 AM",30.6972
"2010-12-30:12 AM",32.4739
"2010-12-31:12 AM",36.8375
"2011-01-01:12 AM",45.9212
"2011-01-02:12 AM",45.5427
"2011-01-03:12 AM",29.98
"2011-01-04:12 AM",32.9801
"2011-01-05:12 AM",30.9421
"2011-01-06:12 AM",29.9331
"2011-01-07:12 AM",30.511
"2011-01-08:12 AM",27.2889
"2011-01-09:12 AM",24.7158
"2011-01-10:12 AM",25.2995
"2011-01-11:12 AM",27.4559
"2011-01-12:12 AM",26.9065
"2011-01-13:12 AM",25.8157
"2011-01-14:12 AM",24.953
"2011-01-15:12 AM",31.9078
"2011-01-16:12 AM",30.5528
"2011-01-17:12 AM",29.9201
"2011-01-18:12 AM",31.1355
"2011-01-19:12 AM",36.4905
"2011-01-20:12 AM",32.8726
"2011-01-21:12 AM",27.3483
"2011-01-22:12 AM",19.4932
"2011-01-23:12 AM",20.4629
"2011-01-24:12 AM",21.4358
"2011-01-25:12 AM",32.1827
"2011-01-26:12 AM",33.0728
"2011-01-27:12 AM",27.4226
"2011-01-28:12 AM",30.6977
"2011-01-29:12 AM",28.324
"2011-01-30:12 AM",31.7296
"2011-01-31:12 AM",27.0482
"2011-02-01:12 AM",31.4105
"2011-02-02:12 AM",37.8455
"2011-02-03:12 AM",26.4807
"2011-02-04:12 AM",31.6787
"2011-02-05:12 AM",34.3261
"2011-02-06:12 AM",34.723
"2011-02-07:12 AM",36.8276
"2011-02-08:12 AM",32.6953
"2011-02-09:12 AM",27.1616
"2011-02-10:12 AM",25.4579
