"DateTime","(deg F) Mean Temperature (CFSR) at Maine, 2010-01-01 to 2019-03-14"
"2011-09-08:12 AM",58.1144
"2011-09-09:12 AM",62.105
"2011-09-10:12 AM",53.2963
"2011-09-11:12 AM",53.4024
"2011-09-12:12 AM",60.5755
"2011-09-13:12 AM",62.8675
"2011-09-14:12 AM",62.9285
"2011-09-15:12 AM",55.4542
"2011-09-16:12 AM",46.5292
"2011-09-17:12 AM",47.9318
"2011-09-18:12 AM",49.2429
"2011-09-19:12 AM",49.833
"2011-09-20:12 AM",51.1421
"2011-09-21:12 AM",57.0088
"2011-09-22:12 AM",58.1779
"2011-09-23:12 AM",62.6986
"2011-09-24:12 AM",62.553
"2011-09-25:12 AM",65.8409
"2011-09-26:12 AM",62.2693
"2011-09-27:12 AM",58.0521
"2011-09-28:12 AM",54.4192
"2011-09-29:12 AM",56.8483
"2011-09-30:12 AM",60.366
"2011-10-01:12 AM",52.4133
"2011-10-02:12 AM",48.6271
"2011-10-03:12 AM",52.0875
"2011-10-04:12 AM",51.325
"2011-10-05:12 AM",44.5033
"2011-10-06:12 AM",37.9798
"2011-10-07:12 AM",41.1154
"2011-10-08:12 AM",56.7574
"2011-10-09:12 AM",63.2588
"2011-10-10:12 AM",59.2153
"2011-10-11:12 AM",48.2873
"2011-10-12:12 AM",46.8261
"2011-10-13:12 AM",50.0751
"2011-10-14:12 AM",55.6992
"2011-10-15:12 AM",54.5049
"2011-10-16:12 AM",47.6892
"2011-10-17:12 AM",49.2411
"2011-10-18:12 AM",47.4836
"2011-10-19:12 AM",48.038
"2011-10-20:12 AM",50.2173
"2011-10-21:12 AM",50.3964
"2011-10-22:12 AM",47.5988
"2011-10-23:12 AM",44.3644
"2011-10-24:12 AM",44.8659
"2011-10-25:12 AM",46.1023
"2011-10-26:12 AM",41.1116
"2011-10-27:12 AM",36.0073
"2011-10-28:12 AM",33.9843
"2011-10-29:12 AM",34.0617
"2011-10-30:12 AM",32.0405
"2011-10-31:12 AM",31.2444
"2011-11-01:12 AM",35.5491
"2011-11-02:12 AM",36.7565
"2011-11-03:12 AM",42.967
"2011-11-04:12 AM",37.1158
"2011-11-05:12 AM",33.2186
"2011-11-06:12 AM",37.1464
"2011-11-07:12 AM",40.9874
"2011-11-08:12 AM",45.5387
"2011-11-09:12 AM",45.275
"2011-11-10:12 AM",50.9302
"2011-11-11:12 AM",41.9659
"2011-11-12:12 AM",35.5813
"2011-11-13:12 AM",41.8203
"2011-11-14:12 AM",49.0687
"2011-11-15:12 AM",50.2218
"2011-11-16:12 AM",44.3287
"2011-11-17:12 AM",41.3213
"2011-11-18:12 AM",31.4485
"2011-11-19:12 AM",35.9361
"2011-11-20:12 AM",41.054
"2011-11-21:12 AM",30.6894
"2011-11-22:12 AM",28.3802
"2011-11-23:12 AM",27.1143
"2011-11-24:12 AM",24.7663
"2011-11-25:12 AM",33.6339
"2011-11-26:12 AM",38.6326
"2011-11-27:12 AM",37.3836
"2011-11-28:12 AM",46.5467
"2011-11-29:12 AM",40.6992
"2011-11-30:12 AM",49.5475
"2011-12-01:12 AM",35.8038
"2011-12-02:12 AM",32.2185
"2011-12-03:12 AM",31.0548
"2011-12-04:12 AM",34.3893
"2011-12-05:12 AM",39.9184
"2011-12-06:12 AM",40.9573
"2011-12-07:12 AM",36.1123
"2011-12-08:12 AM",30.6954
"2011-12-09:12 AM",31.7577
"2011-12-10:12 AM",29.2307
"2011-12-11:12 AM",23.7864
"2011-12-12:12 AM",30.4146
"2011-12-13:12 AM",31.7835
"2011-12-14:12 AM",30.2311
"2011-12-15:12 AM",34.9992
"2011-12-16:12 AM",36.7059
"2011-12-17:12 AM",24.5829
"2011-12-18:12 AM",15.4479
"2011-12-19:12 AM",21.6554
"2011-12-20:12 AM",23.0189
"2011-12-21:12 AM",25.9398
"2011-12-22:12 AM",33.629
"2011-12-23:12 AM",28.8662
"2011-12-24:12 AM",11.4665
"2011-12-25:12 AM",14.266
"2011-12-26:12 AM",21.2014
"2011-12-27:12 AM",27.4881
"2011-12-28:12 AM",35.3885
"2011-12-29:12 AM",13.077
"2011-12-30:12 AM",17.0845
"2011-12-31:12 AM",29.0536
"2012-01-01:12 AM",30.616
"2012-01-02:12 AM",34.1816
"2012-01-03:12 AM",16.8838
"2012-01-04:12 AM",9.6312
"2012-01-05:12 AM",18.9649
"2012-01-06:12 AM",17.9274
"2012-01-07:12 AM",26.7345
"2012-01-08:12 AM",26.114
"2012-01-09:12 AM",19.3906
"2012-01-10:12 AM",26.1873
"2012-01-11:12 AM",13.4688
"2012-01-12:12 AM",17.5086
"2012-01-13:12 AM",25.2225
"2012-01-14:12 AM",14.2025
"2012-01-15:12 AM",-0.8046
"2012-01-16:12 AM",6.2776
"2012-01-17:12 AM",24.6492
"2012-01-18:12 AM",20.9689
"2012-01-19:12 AM",4.7035
"2012-01-20:12 AM",13.5712
"2012-01-21:12 AM",3.5368
"2012-01-22:12 AM",5.3128
"2012-01-23:12 AM",23.0362
"2012-01-24:12 AM",35.6614
"2012-01-25:12 AM",26.6729
"2012-01-26:12 AM",18.4239
"2012-01-27:12 AM",25.1413
"2012-01-28:12 AM",26.2373
"2012-01-29:12 AM",26.8981
"2012-01-30:12 AM",18.4158
"2012-01-31:12 AM",12.6957
"2012-02-01:12 AM",23.04
"2012-02-02:12 AM",18.6325
"2012-02-03:12 AM",12.8851
"2012-02-04:12 AM",16.5814
"2012-02-05:12 AM",10.2151
"2012-02-06:12 AM",26.6689
"2012-02-07:12 AM",22.6562
"2012-02-08:12 AM",11.9205
"2012-02-09:12 AM",21.2248
"2012-02-10:12 AM",26.6452
