"DateTime","(deg F) Mean Temperature (CFSR) at New Mexico, 2010-01-01 to 2019-03-14"
"2011-02-16:12 AM",49.0147
"2011-02-17:12 AM",49.2102
"2011-02-18:12 AM",47.3958
"2011-02-19:12 AM",50.2889
"2011-02-20:12 AM",46.1478
"2011-02-21:12 AM",39.5091
"2011-02-22:12 AM",40.1419
"2011-02-23:12 AM",43.3609
"2011-02-24:12 AM",40.9541
"2011-02-25:12 AM",41.1582
"2011-02-26:12 AM",45.3994
"2011-02-27:12 AM",40.8222
"2011-02-28:12 AM",38.1924
"2011-03-01:12 AM",43.8769
"2011-03-02:12 AM",50.5337
"2011-03-03:12 AM",53.5669
"2011-03-04:12 AM",47.8936
"2011-03-05:12 AM",41.2731
"2011-03-06:12 AM",44.4574
"2011-03-07:12 AM",48.1654
"2011-03-08:12 AM",42.9708
"2011-03-09:12 AM",42.9309
"2011-03-10:12 AM",47.2116
"2011-03-11:12 AM",53.1725
"2011-03-12:12 AM",54.3623
"2011-03-13:12 AM",52.7328
"2011-03-14:12 AM",50.4423
"2011-03-15:12 AM",53.6778
"2011-03-16:12 AM",56.4111
"2011-03-17:12 AM",59.5452
"2011-03-18:12 AM",57.0013
"2011-03-19:12 AM",56.3193
"2011-03-20:12 AM",55.3633
"2011-03-21:12 AM",57.0681
"2011-03-22:12 AM",50.2675
"2011-03-23:12 AM",46.5706
"2011-03-24:12 AM",50.5585
"2011-03-25:12 AM",50.2426
"2011-03-26:12 AM",50.659
"2011-03-27:12 AM",51.1677
"2011-03-28:12 AM",53.3554
"2011-03-29:12 AM",51.9604
"2011-03-30:12 AM",50.6475
"2011-03-31:12 AM",57.0162
"2011-04-01:12 AM",61.8935
"2011-04-02:12 AM",62.8509
"2011-04-03:12 AM",63.7383
"2011-04-04:12 AM",48.6585
"2011-04-05:12 AM",55.4443
"2011-04-06:12 AM",61.0565
"2011-04-07:12 AM",56.6064
"2011-04-08:12 AM",55.6851
"2011-04-09:12 AM",54.3371
"2011-04-10:12 AM",44.857
"2011-04-11:12 AM",47.1322
"2011-04-12:12 AM",54.3029
"2011-04-13:12 AM",56.8454
"2011-04-14:12 AM",53.0827
"2011-04-15:12 AM",51.0222
"2011-04-16:12 AM",55.143
"2011-04-17:12 AM",61.3683
"2011-04-18:12 AM",64.3991
"2011-04-19:12 AM",63.099
"2011-04-20:12 AM",61.4838
"2011-04-21:12 AM",62.3574
"2011-04-22:12 AM",61.7295
"2011-04-23:12 AM",59.1037
"2011-04-24:12 AM",56.7844
"2011-04-25:12 AM",56.1504
"2011-04-26:12 AM",53.9742
"2011-04-27:12 AM",49.8936
"2011-04-28:12 AM",53.6898
"2011-04-29:12 AM",62.5226
"2011-04-30:12 AM",56.4134
"2011-05-01:12 AM",44.9989
"2011-05-02:12 AM",42.4177
"2011-05-03:12 AM",48.0133
"2011-05-04:12 AM",57.2644
"2011-05-05:12 AM",60.2127
"2011-05-06:12 AM",63.6447
"2011-05-07:12 AM",66.8637
"2011-05-08:12 AM",66.1089
"2011-05-09:12 AM",63.6813
"2011-05-10:12 AM",60.1761
"2011-05-11:12 AM",54.0399
"2011-05-12:12 AM",56.5428
"2011-05-13:12 AM",60.1576
"2011-05-14:12 AM",61.0655
"2011-05-15:12 AM",60.2443
"2011-05-16:12 AM",61.2804
"2011-05-17:12 AM",61.281
"2011-05-18:12 AM",57.8601
"2011-05-19:12 AM",54.9691
"2011-05-20:12 AM",53.0429
"2011-05-21:12 AM",58.4515
"2011-05-22:12 AM",63.6224
"2011-05-23:12 AM",65.1009
"2011-05-24:12 AM",61.2923
"2011-05-25:12 AM",61.9995
"2011-05-26:12 AM",65.3461
"2011-05-27:12 AM",71.776
"2011-05-28:12 AM",72.9901
"2011-05-29:12 AM",71.9679
"2011-05-30:12 AM",67.3327
"2011-05-31:12 AM",64.8523
"2011-06-01:12 AM",73.6583
"2011-06-02:12 AM",74.79
"2011-06-03:12 AM",72.1366
"2011-06-04:12 AM",73.1035
"2011-06-05:12 AM",72.8064
"2011-06-06:12 AM",74.7709
"2011-06-07:12 AM",72.9388
"2011-06-08:12 AM",72.883
"2011-06-09:12 AM",71.8641
"2011-06-10:12 AM",70.6552
"2011-06-11:12 AM",71.0361
"2011-06-12:12 AM",72.7597
"2011-06-13:12 AM",74.1934
"2011-06-14:12 AM",74.0491
"2011-06-15:12 AM",74.8188
"2011-06-16:12 AM",76.2426
"2011-06-17:12 AM",75.3778
"2011-06-18:12 AM",74.7352
"2011-06-19:12 AM",74.9446
"2011-06-20:12 AM",69.9737
"2011-06-21:12 AM",69.0751
"2011-06-22:12 AM",74.1616
"2011-06-23:12 AM",77.868
"2011-06-24:12 AM",79.965
"2011-06-25:12 AM",80.1493
"2011-06-26:12 AM",80.6718
"2011-06-27:12 AM",80.175
"2011-06-28:12 AM",79.9761
"2011-06-29:12 AM",79.7776
"2011-06-30:12 AM",78.4315
"2011-07-01:12 AM",77.7744
"2011-07-02:12 AM",76.7368
"2011-07-03:12 AM",77.6338
"2011-07-04:12 AM",77.3452
"2011-07-05:12 AM",77.6406
"2011-07-06:12 AM",77.7531
"2011-07-07:12 AM",78.678
"2011-07-08:12 AM",78.4576
"2011-07-09:12 AM",78.4263
"2011-07-10:12 AM",77.0801
"2011-07-11:12 AM",76.0023
"2011-07-12:12 AM",73.6194
"2011-07-13:12 AM",73.9953
"2011-07-14:12 AM",74.3212
"2011-07-15:12 AM",77.2995
"2011-07-16:12 AM",78.3725
"2011-07-17:12 AM",77.5339
"2011-07-18:12 AM",77.1737
"2011-07-19:12 AM",78.0033
"2011-07-20:12 AM",78.2314
"2011-07-21:12 AM",76.9235
"2011-07-22:12 AM",77.304
"2011-07-23:12 AM",77.6935
"2011-07-24:12 AM",76.3547
"2011-07-25:12 AM",76.1833
"2011-07-26:12 AM",76.1646
"2011-07-27:12 AM",76.6864
"2011-07-28:12 AM",77.2909
"2011-07-29:12 AM",75.1492
"2011-07-30:12 AM",74.2813
"2011-07-31:12 AM",73.4268
"2011-08-01:12 AM",74.8452
"2011-08-02:12 AM",76.8641
"2011-08-03:12 AM",77.866
"2011-08-04:12 AM",76.1767
"2011-08-05:12 AM",77.4972
"2011-08-06:12 AM",77.1775
"2011-08-07:12 AM",79.1046
"2011-08-08:12 AM",79.4975
"2011-08-09:12 AM",78.463
"2011-08-10:12 AM",78.0566
"2011-08-11:12 AM",75.3454
"2011-08-12:12 AM",75.988
"2011-08-13:12 AM",76.1477
"2011-08-14:12 AM",72.5414
"2011-08-15:12 AM",72.9786
"2011-08-16:12 AM",74.3205
"2011-08-17:12 AM",73.265
"2011-08-18:12 AM",72.6771
"2011-08-19:12 AM",73.1997
"2011-08-20:12 AM",73.6844
"2011-08-21:12 AM",73.036
"2011-08-22:12 AM",75.1235
"2011-08-23:12 AM",77.7834
"2011-08-24:12 AM",77.8667
"2011-08-25:12 AM",76.401
"2011-08-26:12 AM",76.8477
"2011-08-27:12 AM",77.3703
"2011-08-28:12 AM",77.108
"2011-08-29:12 AM",76.2933
"2011-08-30:12 AM",78.1698
"2011-08-31:12 AM",78.3745
"2011-09-01:12 AM",75.909
"2011-09-02:12 AM",75.2821
"2011-09-03:12 AM",74.1783
"2011-09-04:12 AM",66.9819
"2011-09-05:12 AM",65.8596
"2011-09-06:12 AM",68.9301
"2011-09-07:12 AM",67.3344
"2011-09-08:12 AM",64.0625
