DateTime,Temp
1981-06-01,63.0286
1981-06-02,63.5337
1981-06-03,62.8036
1981-06-04,64.0148
1981-06-05,67.258
1981-06-06,68.8505
1981-06-07,68.5569
1981-06-08,68.9608
1981-06-09,67.6881
1981-06-10,66.4178
1981-06-11,67.015
1981-06-12,65.7669
1981-06-13,61.6386
1981-06-14,57.8878
1981-06-15,58.0725
1981-06-16,61.8769
1981-06-17,63.6519
1981-06-18,63.9316
1981-06-19,67.793
1981-06-20,69.9064
1981-06-21,70.3157
1981-06-22,71.2544
1981-06-23,72.3135
1981-06-24,72.0115
1981-06-25,73.4821
1981-06-26,74.851
1981-06-27,73.5147
1981-06-28,70.0876
1981-06-29,69.7532
1981-06-30,72.585
1981-07-01,71.7892
1981-07-02,71.2063
1981-07-03,73.3042
1981-07-04,76.305
1981-07-05,77.3085
1981-07-06,75.3186
1981-07-07,71.6025
1981-07-08,68.7643
1981-07-09,71.2278
1981-07-10,72.8627
1981-07-11,73.153
1981-07-12,73.5917
1981-07-13,72.5961
1981-07-14,72.4566
1981-07-15,73.4441
1981-07-16,73.6434
1981-07-17,73.5174
1981-07-18,73.7535
1981-07-19,74.6623
1981-07-20,75.6529
1981-07-21,76.3689
1981-07-22,75.4621
1981-07-23,74.6013
1981-07-24,73.607
1981-07-25,71.29
1981-07-26,69.9856
1981-07-27,70.4988
1981-07-28,72.4089
1981-07-29,73.1559
1981-07-30,73.1601
1981-07-31,73.0695
1981-08-01,73.8811
1981-08-02,74.1823
1981-08-03,73.8624
1981-08-04,74.1042
1981-08-05,75.2614
1981-08-06,75.6525
1981-08-07,75.286
1981-08-08,74.9467
1981-08-09,73.4783
1981-08-10,72.6372
1981-08-11,72.1425
1981-08-12,71.9546
1981-08-13,72.3051
1981-08-14,73.4002
1981-08-15,73.9702
1981-08-16,73.1255
1981-08-17,72.8008
1981-08-18,72.7761
1981-08-19,72.7714
1981-08-20,72.792
1981-08-21,72.5929
1981-08-22,72.5277
1981-08-23,72.6157
1981-08-24,72.7489
1981-08-25,73.4848
1981-08-26,73.2205
1981-08-27,72.1461
1981-08-28,72.2788
1981-08-29,73.7314
1981-08-30,72.5061
1981-08-31,68.5105
1981-09-01,67.5513
1981-09-02,68.2421
1981-09-03,67.1626
1981-09-04,67.7624
1981-09-05,67.4391
1981-09-06,66.1048
1981-09-07,66.6862
1981-09-08,67.9653
1981-09-09,69.1205
1981-09-10,69.1088
1981-09-11,69.5469
1981-09-12,70.7221
1981-09-13,70.2207
1981-09-14,68.6512
1981-09-15,67.2296
1981-09-16,65.6895
1981-09-17,65.3671
1981-09-18,67.0959
1981-09-19,66.5661
1981-09-20,64.4117
1981-09-21,62.9112
1981-09-22,61.8058
1981-09-23,60.9066
1981-09-24,60.379
1981-09-25,59.3591
1981-09-26,57.6306
1981-09-27,59.3589
1981-09-28,62.373000000000005
1981-09-29,61.0819
1981-09-30,58.6103
1981-10-01,57.5188
1981-10-02,58.0125
1981-10-03,55.449
1981-10-04,52.4779
1981-10-05,52.1996
1981-10-06,54.905
1981-10-07,55.1511
1981-10-08,52.2307
1981-10-09,51.4641
1981-10-10,52.6228
1981-10-11,51.9046
1981-10-12,48.5301
1981-10-13,46.4079
1981-10-14,45.8976
1981-10-15,46.5211
1981-10-16,48.33
1981-10-17,48.8737
1981-10-18,48.472
1981-10-19,51.724
1981-10-20,50.2126
1981-10-21,45.3549
1981-10-22,41.9844
1981-10-23,42.0129
1981-10-24,44.2886
1981-10-25,44.6558
1981-10-26,47.9455
1981-10-27,50.4514
1981-10-28,51.4274
1981-10-29,48.7058
1981-10-30,44.1385
1981-10-31,43.5553
1981-11-01,46.6984
1981-11-02,48.5454
1981-11-03,48.8829
1981-11-04,47.4831
1981-11-05,46.1953
1981-11-06,47.176
1981-11-07,47.3157
1981-11-08,43.9714
1981-11-09,42.7087
1981-11-10,44.074
1981-11-11,45.7621
1981-11-12,47.1952
1981-11-13,48.4095
1981-11-14,48.7308
1981-11-15,47.6643
